area_id,city,prior_footfall,floor_area_m2,dist_market_m,program,sales_growth_pct,program_rct,sales_growth_rct_pct
PP-374,Phnom Penh,70.7,61.4,390.0,1,16.95,0,13.16
PP-375,Phnom Penh,10.9,40.4,203.0,0,2.71,0,1.32
PP-376,Phnom Penh,51.2,30.7,105.0,1,8.13,1,10.85
PP-377,Phnom Penh,55.1,30.7,165.0,1,15.16,1,9.32
PP-378,Phnom Penh,60.1,37.6,693.0,1,15.13,0,3.89
PP-379,Phnom Penh,49.9,30.3,1540.0,0,8.7,0,7.3
PP-380,Phnom Penh,37.6,41.8,192.0,0,3.65,0,3.44
PP-381,Phnom Penh,60.0,41.9,442.0,0,9.0,1,9.69
PP-382,Phnom Penh,55.5,21.6,65.0,1,12.77,1,9.58
PP-383,Phnom Penh,37.4,17.4,250.0,0,4.9,1,6.42
PP-384,Phnom Penh,29.6,75.4,587.0,0,2.6,0,8.28
PP-385,Phnom Penh,58.4,28.1,358.0,0,11.04,0,8.46
PP-386,Phnom Penh,37.0,80.2,490.0,0,5.64,0,6.83
PP-387,Phnom Penh,59.7,38.6,188.0,1,10.65,0,6.89
PP-388,Phnom Penh,72.7,15.0,850.0,1,10.86,1,18.42
PP-389,Phnom Penh,53.1,41.0,214.0,0,7.59,0,7.7
PP-390,Phnom Penh,53.4,24.1,367.0,0,7.59,0,8.62
PP-391,Phnom Penh,51.9,15.0,481.0,0,4.48,1,8.51
PP-392,Phnom Penh,70.8,35.8,420.0,0,9.19,1,13.03
PP-393,Phnom Penh,71.0,21.4,571.0,1,11.03,0,8.37
PP-394,Phnom Penh,51.3,32.5,329.0,1,9.67,0,9.27
PP-395,Phnom Penh,61.1,60.9,1091.0,0,4.74,0,11.69
PP-396,Phnom Penh,50.7,51.5,507.0,1,12.08,1,11.96
PP-397,Phnom Penh,42.5,36.7,450.0,0,4.53,0,5.21
PP-398,Phnom Penh,61.5,37.2,713.0,1,12.56,1,12.69
PP-399,Phnom Penh,48.7,37.2,426.0,1,14.7,1,12.84
PP-400,Phnom Penh,37.3,26.2,176.0,0,4.6,1,7.17
