shapeID,slope_deg_srtm,elevation_m,transit_access_index,mean_floor_area_m2,building_age_yr,log_land_price
KHM-ADM3-410,2.504,30.6,5.091,46.9,11,8.2736
KHM-ADM3-411,7.561,58.7,2.735,90.9,15,8.008
KHM-ADM3-412,2.58,14.1,3.772,74.8,25,7.1519
KHM-ADM3-413,6.099,50.4,3.582,75.0,24,7.6845
KHM-ADM3-414,11.195,85.7,0.386,96.1,13,6.9571
KHM-ADM3-415,5.248,35.0,3.21,111.6,11,7.5377
KHM-ADM3-416,3.588,33.8,3.406,72.4,10,7.4174
KHM-ADM3-417,3.61,33.8,2.713,80.7,13,7.0052
KHM-ADM3-418,9.969,67.6,2.23,96.6,25,7.4114
KHM-ADM3-419,6.246,57.6,2.171,103.4,9,6.7422
KHM-ADM3-420,1.932,20.2,4.769,83.3,23,7.899
KHM-ADM3-421,2.899,21.0,5.245,48.0,26,8.4779
KHM-ADM3-422,5.742,37.9,2.811,77.1,23,6.8457
KHM-ADM3-423,1.15,31.3,4.82,83.1,39,7.7543
KHM-ADM3-424,3.037,32.9,4.128,79.3,5,8.806
KHM-ADM3-425,1.414,16.4,4.328,71.7,23,7.8969
KHM-ADM3-426,11.588,54.4,2.06,96.8,3,7.4647
KHM-ADM3-427,5.82,54.9,3.508,109.0,2,8.0597
KHM-ADM3-428,3.381,36.1,2.883,82.0,31,6.4083
KHM-ADM3-429,6.151,37.2,4.659,44.1,3,8.5338
KHM-ADM3-430,4.482,27.6,3.893,63.3,21,7.5021
KHM-ADM3-431,4.283,27.4,2.607,59.7,5,6.384
KHM-ADM3-432,8.51,55.5,3.197,54.2,40,8.3692
KHM-ADM3-433,5.702,51.0,3.013,79.3,29,7.3354
KHM-ADM3-434,0.746,15.7,4.252,84.2,14,7.6923
KHM-ADM3-435,4.197,35.7,3.09,71.1,16,7.2916
KHM-ADM3-436,1.764,13.3,5.135,92.1,1,7.8992
KHM-ADM3-437,2.471,32.4,4.825,71.3,28,8.2473
KHM-ADM3-438,1.817,15.3,4.687,99.2,18,8.0139
KHM-ADM3-439,2.537,29.2,6.217,33.0,37,9.0313
KHM-ADM3-440,4.529,40.1,5.362,79.0,35,8.7357
KHM-ADM3-441,1.2,17.3,5.563,71.3,14,8.8059
KHM-ADM3-442,5.2,47.4,3.864,82.8,3,7.9834
KHM-ADM3-443,1.117,21.7,3.271,96.1,13,6.8159
KHM-ADM3-444,7.64,61.8,3.591,57.7,29,8.3144
KHM-ADM3-445,2.317,21.6,4.848,97.9,31,8.0305
KHM-ADM3-446,0.854,14.3,5.552,63.3,26,8.347
KHM-ADM3-447,4.809,45.2,5.098,84.5,28,9.6712
KHM-ADM3-448,4.404,49.9,4.277,57.4,40,7.9104
KHM-ADM3-449,0.96,7.1,4.661,101.1,22,8.0725
KHM-ADM3-450,1.224,21.0,3.807,66.2,22,7.2343
KHM-ADM3-451,1.254,6.8,6.076,36.6,40,9.1078
KHM-ADM3-452,0.2,5.7,6.067,62.3,18,8.3795
KHM-ADM3-453,3.135,23.3,2.763,54.6,18,6.3746
KHM-ADM3-454,1.691,32.8,3.216,59.3,26,7.0825
KHM-ADM3-455,3.042,19.0,4.026,105.3,2,8.0174
KHM-ADM3-456,8.736,59.2,3.485,62.1,14,8.1423
KHM-ADM3-457,2.599,13.7,4.157,77.2,25,8.1114
KHM-ADM3-458,2.585,14.5,3.981,79.8,28,7.2578
KHM-ADM3-459,4.525,28.4,3.63,75.0,15,7.3864
KHM-ADM3-460,1.155,16.9,5.68,61.0,8,8.9641
KHM-ADM3-461,11.699,89.6,4.556,86.6,24,9.7379
KHM-ADM3-462,1.289,20.4,4.669,96.3,16,8.2219
KHM-ADM3-463,2.415,30.8,4.242,83.3,8,6.9772
KHM-ADM3-464,3.419,23.2,3.323,80.5,8,6.8384
KHM-ADM3-465,4.427,23.0,4.009,105.3,33,8.34
KHM-ADM3-466,1.271,28.4,4.142,89.7,40,6.2328
KHM-ADM3-467,8.936,68.1,3.847,131.0,23,8.5538
KHM-ADM3-468,0.935,34.0,5.769,64.6,8,8.6805
KHM-ADM3-469,4.791,39.6,3.431,68.5,8,6.6355
KHM-ADM3-470,4.79,45.3,5.427,48.9,37,8.5522
KHM-ADM3-471,7.782,70.3,3.001,69.3,30,7.8495
KHM-ADM3-472,2.902,27.1,4.238,105.8,6,8.7121
KHM-ADM3-473,18.482,120.1,1.604,58.5,4,7.9557
KHM-ADM3-474,2.373,32.4,4.33,59.1,21,8.3647
KHM-ADM3-475,9.312,67.8,2.307,79.4,2,7.5096
KHM-ADM3-476,2.286,17.1,2.764,71.4,32,7.3057
KHM-ADM3-477,6.391,47.8,3.272,46.1,17,8.9147
KHM-ADM3-478,1.181,12.0,4.023,99.8,13,7.7546
KHM-ADM3-479,5.158,43.9,4.429,60.6,4,8.0336
KHM-ADM3-480,5.654,66.5,5.55,85.4,25,8.4649
KHM-ADM3-481,3.949,38.4,3.944,76.6,11,8.0891
KHM-ADM3-482,2.92,31.4,3.257,63.5,23,7.4013
KHM-ADM3-483,1.317,17.9,5.364,98.1,1,8.4556
KHM-ADM3-484,15.976,111.5,0.765,92.8,9,7.7395
KHM-ADM3-485,5.253,44.4,3.776,90.3,4,7.4618
KHM-ADM3-486,1.581,17.1,4.686,65.4,4,8.9696
KHM-ADM3-487,1.146,33.5,4.56,75.9,22,8.3723
KHM-ADM3-488,1.849,21.2,3.677,75.0,37,7.195
KHM-ADM3-489,2.125,17.9,4.814,84.4,15,8.9818
KHM-ADM3-490,1.602,27.1,5.197,78.3,9,8.4288
KHM-ADM3-491,0.527,13.8,5.121,92.2,4,8.5679
KHM-ADM3-492,0.908,16.0,4.958,48.0,38,8.2695
KHM-ADM3-493,2.91,39.2,4.83,105.6,29,8.5716
KHM-ADM3-494,3.754,39.9,5.021,68.6,17,8.6658
KHM-ADM3-495,2.576,25.2,3.704,85.0,4,7.4659
KHM-ADM3-496,1.026,14.8,5.625,64.5,16,8.94
KHM-ADM3-497,0.687,15.6,4.013,61.4,8,7.3235
KHM-ADM3-498,2.314,29.5,3.333,66.0,13,6.6783
KHM-ADM3-499,4.995,47.3,4.569,111.1,24,7.6624
KHM-ADM3-500,2.097,21.3,4.218,81.2,7,8.1261
KHM-ADM3-501,13.437,93.9,1.969,117.9,36,8.0157
KHM-ADM3-502,6.676,55.4,3.706,103.7,35,8.944
KHM-ADM3-503,7.494,81.9,2.564,123.6,15,7.2835
KHM-ADM3-504,6.182,41.7,3.301,34.3,6,7.8741
KHM-ADM3-505,6.749,26.2,3.377,94.4,15,7.9467
KHM-ADM3-506,3.901,31.5,5.412,90.0,35,9.2548
KHM-ADM3-507,5.087,49.0,3.776,70.6,31,8.774
KHM-ADM3-508,7.863,44.8,3.059,81.8,4,7.6427
KHM-ADM3-509,6.404,46.9,3.93,72.0,22,8.277
KHM-ADM3-510,4.982,44.0,3.911,87.8,28,7.2903
KHM-ADM3-511,2.837,29.4,5.817,85.6,34,9.5608
KHM-ADM3-512,13.274,88.9,1.908,72.8,34,8.4094
KHM-ADM3-513,4.883,27.9,4.059,82.0,13,7.6337
KHM-ADM3-514,2.812,32.4,4.829,82.7,29,8.7769
KHM-ADM3-515,3.737,24.0,4.957,58.7,31,8.9917
KHM-ADM3-516,4.727,30.9,4.627,73.3,38,8.497
KHM-ADM3-517,2.342,19.0,3.894,57.3,26,7.7375
KHM-ADM3-518,2.453,31.6,5.309,68.1,10,9.1839
KHM-ADM3-519,1.719,14.9,4.663,79.8,23,8.447
KHM-ADM3-520,1.379,17.2,5.371,106.4,17,8.3844
KHM-ADM3-521,2.032,19.6,4.668,49.0,32,8.4147
KHM-ADM3-522,4.694,37.3,3.797,76.4,23,8.271
KHM-ADM3-523,4.613,35.0,3.627,77.6,29,7.4478
KHM-ADM3-524,1.604,16.4,4.208,113.1,28,7.212
KHM-ADM3-525,3.091,19.4,4.894,107.9,11,8.5379
KHM-ADM3-526,7.313,57.5,3.952,81.1,11,8.6331
KHM-ADM3-527,1.71,18.2,4.269,95.9,3,7.4441
KHM-ADM3-528,4.946,43.5,4.124,57.4,37,8.5973
KHM-ADM3-529,3.823,31.4,4.212,72.6,35,8.2241
KHM-ADM3-530,0.714,29.2,5.467,87.5,31,8.8569
KHM-ADM3-531,11.436,64.2,1.426,65.5,15,7.4521
KHM-ADM3-532,1.666,36.5,4.35,104.7,31,7.7271
KHM-ADM3-533,3.937,34.5,3.621,82.1,23,8.134
KHM-ADM3-534,4.978,28.8,4.771,87.7,15,8.4164
KHM-ADM3-535,6.572,58.3,4.033,80.0,8,7.9506
KHM-ADM3-536,3.247,9.3,3.275,77.0,14,7.4701
KHM-ADM3-537,1.596,17.8,5.428,95.6,9,7.7643
KHM-ADM3-538,0.437,24.5,3.002,56.9,21,6.9038
KHM-ADM3-539,6.519,46.2,2.668,56.0,21,6.8911
KHM-ADM3-540,4.851,26.6,5.565,95.3,22,9.3892
KHM-ADM3-541,3.898,33.9,4.85,99.5,28,8.995
KHM-ADM3-542,1.744,20.4,4.954,72.7,12,8.9184
KHM-ADM3-543,2.391,21.4,4.673,69.1,24,8.6117
KHM-ADM3-544,8.959,71.7,3.055,91.1,6,7.7347
KHM-ADM3-545,4.878,31.2,2.846,110.1,16,7.2416
KHM-ADM3-546,0.65,2.8,4.937,93.3,32,7.9565
KHM-ADM3-547,1.043,9.7,3.596,95.5,28,7.0002
KHM-ADM3-548,2.548,26.9,3.438,69.7,27,7.2777
KHM-ADM3-549,11.742,83.7,1.685,73.6,35,8.1522
KHM-ADM3-550,3.422,20.8,2.977,82.5,23,6.8189
KHM-ADM3-551,5.73,61.5,4.167,97.3,33,8.9461
KHM-ADM3-552,0.475,12.0,3.416,71.9,4,6.7418
KHM-ADM3-553,7.35,52.1,3.85,59.0,5,8.7718
KHM-ADM3-554,1.568,20.1,3.814,61.0,23,7.5981
KHM-ADM3-555,3.25,23.5,3.735,58.3,29,7.409
KHM-ADM3-556,1.793,27.5,5.488,90.5,14,8.382
KHM-ADM3-557,2.054,38.7,2.319,127.0,11,5.3294
KHM-ADM3-558,2.751,31.2,4.446,94.2,15,7.7939
KHM-ADM3-559,12.233,88.2,1.623,72.4,30,7.7317
KHM-ADM3-560,4.451,39.1,2.975,79.4,10,6.7219
KHM-ADM3-561,3.917,40.5,3.827,64.2,38,8.0875
KHM-ADM3-562,6.621,50.0,3.388,81.6,19,8.3974
KHM-ADM3-563,6.197,42.9,5.06,98.3,23,9.48
KHM-ADM3-564,5.049,47.3,3.071,83.1,10,7.1038
KHM-ADM3-565,11.916,94.2,1.873,69.7,20,7.2174
KHM-ADM3-566,8.265,53.8,2.218,70.4,16,7.4555
KHM-ADM3-567,3.236,20.2,3.915,110.7,3,7.85
KHM-ADM3-568,4.208,24.4,4.052,72.6,4,8.4383
KHM-ADM3-569,3.419,34.1,4.655,81.4,2,8.6343
KHM-ADM3-570,4.631,24.2,3.684,87.9,9,7.1777
KHM-ADM3-571,2.316,31.6,4.539,76.7,13,8.2202
KHM-ADM3-572,8.898,64.4,3.956,64.0,6,8.7242
KHM-ADM3-573,3.702,35.3,2.675,70.7,28,6.9049
KHM-ADM3-574,7.677,63.2,3.253,69.4,37,8.1425
KHM-ADM3-575,1.6,8.3,3.319,56.3,31,7.4998
KHM-ADM3-576,0.723,21.3,5.945,67.5,20,8.0916
KHM-ADM3-577,11.505,85.8,2.49,51.2,20,8.0594
KHM-ADM3-578,4.2,39.6,2.69,99.6,3,6.7723
KHM-ADM3-579,4.404,32.5,4.131,73.6,37,8.76
KHM-ADM3-580,7.488,63.2,3.162,90.9,32,7.5764
KHM-ADM3-581,0.677,32.4,5.361,81.3,5,8.157
KHM-ADM3-582,3.755,24.3,3.853,67.1,33,7.8622
KHM-ADM3-583,8.166,54.8,2.076,46.5,29,7.3795
KHM-ADM3-584,9.661,63.3,3.738,74.1,22,8.3997
KHM-ADM3-585,1.919,4.2,3.313,63.8,13,7.4116
KHM-ADM3-586,8.215,51.0,4.256,100.5,38,8.7016
KHM-ADM3-587,4.106,38.1,3.989,50.0,19,8.1219
KHM-ADM3-588,2.833,42.8,4.367,95.5,38,8.2629
KHM-ADM3-589,2.798,30.5,5.545,69.8,33,9.0537
KHM-ADM3-590,15.109,95.5,2.026,94.5,18,8.5561
KHM-ADM3-591,6.725,56.7,2.783,66.9,17,7.6839
KHM-ADM3-592,3.496,30.4,4.131,89.1,12,7.4853
KHM-ADM3-593,5.772,37.4,3.885,76.8,30,8.1755
KHM-ADM3-594,2.138,28.5,2.786,90.4,27,6.4925
KHM-ADM3-595,2.96,14.9,5.951,59.6,28,9.513
KHM-ADM3-596,8.514,65.7,2.021,94.7,38,7.4503
KHM-ADM3-597,1.814,26.9,4.733,71.1,21,7.7444
KHM-ADM3-598,2.966,9.3,3.231,71.3,30,7.4432
KHM-ADM3-599,8.087,47.5,3.278,66.4,39,8.5252
KHM-ADM3-600,1.381,20.8,4.492,62.1,40,8.4702
KHM-ADM3-601,6.793,55.7,3.672,76.4,25,8.5704
KHM-ADM3-602,0.252,8.6,4.216,77.1,15,7.1247
KHM-ADM3-603,4.723,37.0,3.818,70.4,21,7.9186
KHM-ADM3-604,5.237,38.6,5.139,76.4,34,9.1845
KHM-ADM3-605,12.467,92.1,3.721,100.1,13,8.6427
KHM-ADM3-606,16.191,127.4,1.306,72.9,6,7.9019
KHM-ADM3-607,1.145,18.1,5.567,75.1,16,9.4272
KHM-ADM3-608,4.297,48.5,3.091,100.6,29,7.6188
KHM-ADM3-609,2.438,36.3,2.921,40.7,31,7.2652
KHM-ADM3-610,2.507,26.5,4.386,98.9,13,8.4413
KHM-ADM3-611,12.764,75.8,2.185,83.7,30,7.829
KHM-ADM3-612,3.571,41.2,5.072,78.6,13,8.3414
KHM-ADM3-613,0.692,15.9,5.583,82.8,35,8.1486
KHM-ADM3-614,6.869,44.7,2.909,107.7,39,7.1499
KHM-ADM3-615,5.584,42.9,2.659,91.5,27,7.4212
KHM-ADM3-616,8.866,79.0,2.858,117.1,9,7.0855
KHM-ADM3-617,1.99,22.0,4.474,72.3,4,7.8501
KHM-ADM3-618,0.364,13.8,5.157,50.5,32,7.2807
KHM-ADM3-619,3.568,37.3,4.02,82.0,35,8.3494
KHM-ADM3-620,9.397,63.5,2.385,44.9,33,7.347
KHM-ADM3-621,2.468,20.3,3.614,47.1,1,7.8146
KHM-ADM3-622,4.278,47.1,3.49,78.4,19,7.8432
KHM-ADM3-623,3.536,35.2,3.801,98.6,1,7.5661
KHM-ADM3-624,6.406,47.6,4.789,65.0,1,8.8224
KHM-ADM3-625,1.621,18.5,3.148,70.2,33,7.5266
KHM-ADM3-626,7.906,70.9,3.479,54.9,39,7.5885
KHM-ADM3-627,1.79,21.6,6.388,89.9,3,9.4075
KHM-ADM3-628,1.566,16.5,3.895,84.7,26,7.246
KHM-ADM3-629,3.405,34.3,3.691,100.5,29,7.4178
KHM-ADM3-630,5.785,42.6,3.389,105.8,5,7.2728
KHM-ADM3-631,3.104,11.8,4.003,86.0,21,8.7348
KHM-ADM3-632,1.228,23.2,5.069,37.1,32,8.4228
KHM-ADM3-633,6.666,55.7,4.865,50.1,20,9.3244
KHM-ADM3-634,11.913,80.1,1.926,75.4,33,7.92
KHM-ADM3-635,3.921,38.1,3.52,92.1,36,7.3622
KHM-ADM3-636,1.643,15.8,4.786,86.5,38,7.9752
KHM-ADM3-637,6.307,63.5,2.848,44.4,32,7.4048
KHM-ADM3-638,2.907,32.0,3.923,76.7,18,8.1011
KHM-ADM3-639,0.547,30.6,4.573,92.1,36,7.1104
KHM-ADM3-640,5.43,32.1,3.71,73.5,34,8.329
KHM-ADM3-641,3.247,26.7,3.958,57.0,3,7.5814
KHM-ADM3-642,5.591,43.1,4.878,69.3,30,8.3995
KHM-ADM3-643,6.546,49.9,2.708,88.7,15,7.7605
KHM-ADM3-644,2.226,18.8,4.916,116.7,22,8.2715
KHM-ADM3-645,2.706,42.4,4.817,60.9,24,7.726
KHM-ADM3-646,8.096,55.8,3.254,78.7,35,7.7538
KHM-ADM3-647,4.426,35.3,4.306,99.8,13,8.2746
KHM-ADM3-648,9.283,77.1,2.635,64.4,39,7.2469
KHM-ADM3-649,14.113,96.5,1.354,50.2,31,6.6054
KHM-ADM3-650,4.829,41.6,3.962,73.8,2,7.865
KHM-ADM3-651,6.987,39.4,3.744,67.8,24,8.0163
KHM-ADM3-652,5.067,46.6,3.446,103.7,10,7.0498
KHM-ADM3-653,1.518,17.5,4.132,56.1,29,8.4429
KHM-ADM3-654,1.409,6.3,4.437,77.0,21,7.0031
KHM-ADM3-655,3.672,46.1,2.837,65.4,34,7.6641
KHM-ADM3-656,5.544,46.6,3.44,79.7,22,8.2375
KHM-ADM3-657,7.212,57.7,4.223,58.9,11,9.11
KHM-ADM3-658,5.63,40.5,4.882,78.9,20,8.1324
KHM-ADM3-659,2.58,34.2,4.069,76.4,6,8.0329
KHM-ADM3-660,4.972,47.4,3.791,67.2,32,7.825
KHM-ADM3-661,0.53,5.3,4.525,67.6,18,7.8772
KHM-ADM3-662,1.688,25.8,5.083,61.5,5,8.083
KHM-ADM3-663,0.808,23.5,3.624,80.6,2,7.2277
KHM-ADM3-664,3.004,21.9,4.491,80.1,22,7.6208
KHM-ADM3-665,6.977,47.9,2.397,62.6,6,7.1472
KHM-ADM3-666,0.462,8.6,6.042,77.4,39,9.1004
KHM-ADM3-667,9.409,83.4,3.912,74.3,31,8.8811
KHM-ADM3-668,2.477,17.1,5.504,75.7,40,8.331
KHM-ADM3-669,1.769,23.5,3.361,75.9,10,6.7969
KHM-ADM3-670,3.978,37.2,4.307,101.7,38,8.5625
KHM-ADM3-671,1.04,18.7,4.706,103.1,4,8.1185
KHM-ADM3-672,4.389,38.3,4.807,85.5,38,8.5135
KHM-ADM3-673,4.038,38.9,3.226,67.9,37,7.2323
KHM-ADM3-674,8.045,70.6,1.869,120.6,35,6.8348
KHM-ADM3-675,3.586,47.1,2.927,100.2,22,6.6312
KHM-ADM3-676,4.273,38.9,4.354,100.9,23,7.7237
KHM-ADM3-677,3.831,43.2,3.805,78.4,12,7.8605
KHM-ADM3-678,13.414,88.9,0.774,62.9,6,6.0336
KHM-ADM3-679,3.791,41.0,6.463,104.3,1,9.5759
KHM-ADM3-680,4.211,19.4,4.113,93.7,33,8.238
KHM-ADM3-681,2.546,32.4,5.374,85.4,14,7.7851
KHM-ADM3-682,5.475,29.4,3.031,93.1,27,7.2934
KHM-ADM3-683,1.05,14.8,5.043,91.0,30,7.9376
KHM-ADM3-684,2.235,17.6,4.95,62.8,2,8.4009
KHM-ADM3-685,5.536,37.0,2.698,82.1,6,7.8796
KHM-ADM3-686,5.064,36.0,3.726,65.9,14,7.7989
KHM-ADM3-687,1.262,1.8,4.374,66.5,1,8.0478
KHM-ADM3-688,0.957,28.8,5.492,87.4,29,9.1645
KHM-ADM3-689,5.507,51.8,4.472,91.2,20,7.8423
KHM-ADM3-690,1.837,6.3,4.285,64.9,4,8.1435
KHM-ADM3-691,0.36,6.9,6.822,71.9,1,9.1665
KHM-ADM3-692,6.601,41.2,3.42,85.4,37,7.8322
KHM-ADM3-693,5.597,40.4,3.538,80.2,22,7.3143
KHM-ADM3-694,1.785,17.2,3.237,88.0,15,7.8563
KHM-ADM3-695,2.946,28.4,3.12,67.4,33,5.9524
KHM-ADM3-696,0.936,19.5,4.245,75.7,7,7.6003
KHM-ADM3-697,4.101,36.2,5.407,71.5,39,9.3592
KHM-ADM3-698,1.244,20.4,6.159,99.2,4,9.8108
KHM-ADM3-699,8.382,65.6,3.347,59.3,32,7.4243
KHM-ADM3-700,3.424,23.8,4.783,92.5,11,8.7593
KHM-ADM3-701,8.457,62.4,2.952,87.8,34,8.1043
KHM-ADM3-702,8.484,54.9,3.96,79.8,21,8.5023
KHM-ADM3-703,2.764,38.2,4.216,90.0,14,7.3459
KHM-ADM3-704,0.674,11.8,4.741,104.9,19,8.9595
KHM-ADM3-705,5.458,58.0,4.369,71.3,28,8.1163
KHM-ADM3-706,1.184,28.7,5.213,64.4,14,7.9124
KHM-ADM3-707,4.626,40.3,4.464,71.1,5,8.2892
KHM-ADM3-708,7.192,48.2,2.925,54.3,32,6.8549
KHM-ADM3-709,2.933,33.7,3.087,97.4,12,6.6974
KHM-ADM3-710,11.577,80.0,3.818,30.0,16,8.8721
KHM-ADM3-711,5.472,56.1,2.733,75.7,32,7.4499
KHM-ADM3-712,5.03,44.4,5.439,78.9,4,9.1155
KHM-ADM3-713,5.147,28.2,3.265,70.8,5,8.1838
KHM-ADM3-714,3.071,35.0,3.6,72.5,36,8.5336
KHM-ADM3-715,2.14,24.0,4.999,98.1,40,8.5233
KHM-ADM3-716,6.923,64.7,2.479,58.5,9,7.5
KHM-ADM3-717,6.259,45.3,4.579,64.6,11,9.4075
KHM-ADM3-718,2.66,24.9,4.179,70.9,7,7.8206
KHM-ADM3-719,6.669,33.7,3.659,47.8,29,7.8283
KHM-ADM3-720,1.461,7.7,4.948,99.8,39,9.0026
KHM-ADM3-721,6.839,58.1,3.4,104.5,22,8.6482
KHM-ADM3-722,0.367,31.4,5.476,75.5,13,7.8501
KHM-ADM3-723,3.543,37.9,5.642,74.6,6,9.1087
KHM-ADM3-724,4.597,49.9,3.372,73.8,31,8.0776
KHM-ADM3-725,3.732,41.4,3.382,69.7,26,6.9456
KHM-ADM3-726,3.536,30.9,3.64,69.3,18,7.304
KHM-ADM3-727,3.568,30.7,3.549,82.1,7,7.8432
KHM-ADM3-728,3.481,40.9,5.754,71.5,39,9.1288
KHM-ADM3-729,2.029,30.6,3.706,68.3,10,7.3411
KHM-ADM3-730,1.719,25.7,4.785,84.7,18,8.9804
KHM-ADM3-731,5.558,53.8,3.378,100.9,21,8.5122
KHM-ADM3-732,7.234,64.1,3.206,66.7,3,8.6348
KHM-ADM3-733,11.46,86.2,1.374,74.1,38,6.4688
KHM-ADM3-734,3.337,28.0,4.667,101.6,39,8.8626
KHM-ADM3-735,4.522,50.4,2.791,77.4,10,7.2042
KHM-ADM3-736,4.765,50.9,3.177,88.2,40,7.1519
KHM-ADM3-737,4.066,38.0,4.488,78.6,5,8.5896
KHM-ADM3-738,14.642,113.3,1.987,99.8,15,7.9074
KHM-ADM3-739,2.334,18.0,5.388,57.7,33,8.4806
KHM-ADM3-740,3.008,50.3,3.109,100.6,40,6.7031
KHM-ADM3-741,3.978,35.8,3.587,90.4,5,8.317
KHM-ADM3-742,4.063,34.7,4.559,71.4,17,7.2629
KHM-ADM3-743,0.236,24.0,4.446,102.0,9,7.5683
KHM-ADM3-744,3.125,31.1,4.348,100.7,37,7.9607
KHM-ADM3-745,2.584,32.6,4.088,59.0,24,7.8607
KHM-ADM3-746,1.826,26.3,3.918,96.3,3,7.7929
KHM-ADM3-747,2.553,32.3,3.664,47.5,5,6.8459
KHM-ADM3-748,2.874,31.4,4.638,88.2,35,8.0804
KHM-ADM3-749,13.459,84.2,1.729,52.8,8,8.1155
KHM-ADM3-750,11.784,86.4,2.387,78.7,27,8.4008
KHM-ADM3-751,4.657,29.1,4.227,50.2,24,7.7055
KHM-ADM3-752,0.807,15.5,4.879,88.2,11,8.3939
KHM-ADM3-753,2.283,28.0,4.854,76.3,6,7.4893
KHM-ADM3-754,18.794,127.0,-1.426,78.3,3,7.0145
KHM-ADM3-755,1.908,32.4,3.963,81.0,37,6.9032
KHM-ADM3-756,3.25,30.8,3.818,103.9,14,7.6796
KHM-ADM3-757,2.435,28.1,5.22,90.8,33,9.1926
KHM-ADM3-758,5.932,60.7,2.795,69.3,28,8.4301
KHM-ADM3-759,3.072,41.0,4.885,80.1,16,8.5485
KHM-ADM3-760,3.609,27.6,4.97,56.6,9,8.861
KHM-ADM3-761,9.619,66.4,3.605,99.1,18,8.5432
KHM-ADM3-762,3.794,44.8,3.644,100.9,37,7.4641
KHM-ADM3-763,8.502,61.5,3.257,87.0,27,8.632
KHM-ADM3-764,0.534,7.7,5.236,79.0,19,8.8704
KHM-ADM3-765,7.564,54.0,3.311,90.8,27,8.6538
KHM-ADM3-766,11.491,83.6,3.593,112.0,23,7.6708
KHM-ADM3-767,3.697,48.6,4.181,62.3,3,8.2493
KHM-ADM3-768,3.013,24.5,3.436,74.6,24,7.6478
KHM-ADM3-769,9.27,54.1,1.226,72.9,25,6.2971
KHM-ADM3-770,6.115,52.0,4.564,81.0,24,8.7422
KHM-ADM3-771,4.893,42.0,2.994,68.6,15,7.3743
KHM-ADM3-772,1.027,34.0,6.087,43.0,33,10.0917
KHM-ADM3-773,2.792,15.5,4.67,62.4,15,8.5389
KHM-ADM3-774,3.71,38.4,2.313,71.3,5,6.4673
KHM-ADM3-775,7.472,54.7,2.753,43.8,16,6.8741
KHM-ADM3-776,2.531,37.8,4.654,92.2,4,8.9792
KHM-ADM3-777,5.634,34.3,3.674,74.9,11,8.5626
KHM-ADM3-778,2.27,11.2,4.847,51.4,4,7.6093
KHM-ADM3-779,1.624,32.3,4.892,78.0,8,8.3595
KHM-ADM3-780,3.048,24.7,3.775,62.6,3,7.3354
KHM-ADM3-781,3.535,32.2,5.188,62.7,39,8.0803
KHM-ADM3-782,2.005,29.3,4.938,71.4,18,8.4985
KHM-ADM3-783,7.659,67.4,3.046,84.8,40,8.025
KHM-ADM3-784,1.894,26.1,5.211,77.2,32,8.5333
KHM-ADM3-785,3.776,41.1,2.825,67.7,7,6.6544
KHM-ADM3-786,4.718,57.7,4.416,55.0,2,8.4113
KHM-ADM3-787,5.986,35.4,1.777,76.4,24,5.7962
KHM-ADM3-788,1.902,26.4,3.958,101.6,8,8.4066
KHM-ADM3-789,6.506,54.4,4.042,87.0,10,8.5316
KHM-ADM3-790,3.665,22.0,3.652,74.7,40,7.586
KHM-ADM3-791,6.365,51.1,3.334,96.2,20,7.3568
KHM-ADM3-792,3.026,30.8,3.77,106.5,17,7.178
KHM-ADM3-793,8.375,72.9,4.451,110.0,21,8.401
KHM-ADM3-794,4.254,39.6,2.94,78.3,22,7.6179
KHM-ADM3-795,3.19,31.9,4.358,69.2,32,7.8611
KHM-ADM3-796,2.102,22.4,2.877,85.6,23,7.4657
KHM-ADM3-797,10.394,78.7,1.057,71.7,14,5.6286
KHM-ADM3-798,2.201,18.8,6.109,67.8,7,9.3006
KHM-ADM3-799,3.048,37.2,4.143,131.3,14,8.0533
KHM-ADM3-800,3.689,29.4,3.097,95.0,17,7.8745
