biz_id,city,pre_sales_index,floor_area_m2,dist_road_m,frontage_m,years_open,program,post_sales_index
KHM-B0347,Phnom Penh,166.8,34.0,292.0,4.8,29,1,161.8
KHM-B0348,Phnom Penh,92.6,12.5,313.0,3.3,8,0,96.7
KHM-B0349,Phnom Penh,76.9,59.2,430.0,4.2,14,0,88.1
KHM-B0350,Phnom Penh,98.6,23.1,339.0,7.6,6,0,96.6
KHM-B0351,Phnom Penh,111.7,58.6,558.0,7.6,9,0,111.0
KHM-B0352,Phnom Penh,104.5,52.5,465.0,3.8,8,1,124.7
KHM-B0353,Phnom Penh,112.4,71.2,443.0,6.2,30,1,113.7
KHM-B0354,Phnom Penh,117.8,34.1,1150.0,5.3,6,0,117.0
KHM-B0355,Phnom Penh,102.5,19.0,189.0,5.4,4,1,119.1
KHM-B0356,Phnom Penh,62.6,22.0,230.0,3.6,16,0,75.1
KHM-B0357,Phnom Penh,143.2,96.0,100.0,4.8,1,1,153.5
KHM-B0358,Phnom Penh,116.9,28.7,763.0,8.4,13,1,124.2
KHM-B0359,Phnom Penh,87.1,53.9,527.0,8.0,21,0,82.2
KHM-B0360,Phnom Penh,125.9,26.5,198.0,2.0,18,1,123.7
KHM-B0361,Phnom Penh,99.9,63.9,757.0,2.0,9,0,102.1
KHM-B0362,Phnom Penh,110.2,10.4,829.0,10.2,15,0,118.3
KHM-B0363,Phnom Penh,120.2,74.1,424.0,4.8,4,0,125.0
KHM-B0364,Phnom Penh,79.7,45.5,592.0,6.2,17,0,86.9
KHM-B0365,Phnom Penh,98.1,15.5,119.0,5.2,23,1,107.6
KHM-B0366,Phnom Penh,58.7,33.1,211.0,9.2,22,1,77.9
KHM-B0367,Phnom Penh,131.3,20.3,542.0,2.0,7,0,125.3
KHM-B0368,Phnom Penh,136.1,28.4,465.0,6.0,25,0,128.8
KHM-B0369,Phnom Penh,104.1,65.0,178.0,3.3,25,0,109.7
KHM-B0370,Phnom Penh,69.3,22.1,354.0,3.0,9,0,87.1
KHM-B0371,Phnom Penh,99.4,26.4,1278.0,9.0,14,0,98.6
KHM-B0372,Phnom Penh,94.6,28.0,358.0,2.0,8,0,96.4
KHM-B0373,Phnom Penh,109.0,28.1,220.0,4.9,8,1,117.3
KHM-B0374,Phnom Penh,82.4,29.6,712.0,3.2,16,0,90.5
KHM-B0375,Phnom Penh,131.6,29.3,409.0,2.6,19,0,137.8
KHM-B0376,Phnom Penh,59.7,37.2,312.0,3.3,11,0,69.4
KHM-B0377,Phnom Penh,84.3,11.2,895.0,5.3,20,0,83.0
KHM-B0378,Phnom Penh,101.1,21.8,331.0,4.7,10,0,109.5
KHM-B0379,Phnom Penh,87.2,26.9,263.0,8.3,10,0,96.3
KHM-B0380,Phnom Penh,83.2,68.9,43.0,8.0,16,1,99.6
KHM-B0381,Phnom Penh,75.6,33.5,270.0,7.8,8,0,87.7
KHM-B0382,Phnom Penh,79.4,37.2,479.0,8.0,26,0,82.8
KHM-B0383,Phnom Penh,142.0,19.2,675.0,10.1,21,1,137.6
KHM-B0384,Phnom Penh,124.9,112.4,986.0,2.0,18,0,128.8
KHM-B0385,Phnom Penh,144.9,55.3,59.0,10.1,6,1,150.5
KHM-B0386,Phnom Penh,105.0,25.7,440.0,6.6,9,1,116.0
KHM-B0387,Phnom Penh,99.6,31.8,265.0,5.5,18,0,105.9
KHM-B0388,Phnom Penh,87.4,55.9,1115.0,6.2,25,0,90.4
KHM-B0389,Phnom Penh,124.5,14.3,467.0,3.8,16,0,118.7
KHM-B0390,Phnom Penh,111.5,45.1,388.0,4.2,18,1,102.0
KHM-B0391,Phnom Penh,88.4,21.1,291.0,7.7,6,0,90.1
KHM-B0392,Phnom Penh,99.6,112.7,368.0,6.6,11,0,107.4
KHM-B0393,Phnom Penh,64.7,52.3,475.0,5.8,28,0,71.6
KHM-B0394,Phnom Penh,98.7,14.5,478.0,7.5,29,1,100.4
KHM-B0395,Phnom Penh,50.2,51.9,298.0,7.0,24,0,74.6
KHM-B0396,Phnom Penh,78.8,31.7,233.0,7.3,10,0,90.9
KHM-B0397,Phnom Penh,72.8,18.1,422.0,6.8,30,0,76.9
KHM-B0398,Phnom Penh,71.9,19.7,990.0,8.9,20,1,92.9
KHM-B0399,Phnom Penh,95.0,96.2,345.0,6.5,20,1,114.0
KHM-B0400,Phnom Penh,130.5,41.2,534.0,7.0,8,1,132.7
KHM-B0401,Phnom Penh,94.7,54.1,207.0,4.6,13,0,99.8
KHM-B0402,Phnom Penh,72.4,108.1,227.0,4.0,6,0,74.1
KHM-B0403,Phnom Penh,84.3,23.7,257.0,6.0,15,1,98.2
KHM-B0404,Phnom Penh,93.5,63.5,1019.0,4.4,4,0,96.4
KHM-B0405,Phnom Penh,112.6,10.0,399.0,9.2,25,0,112.9
KHM-B0406,Phnom Penh,76.2,26.5,1030.0,8.4,27,1,84.2
KHM-B0407,Phnom Penh,99.7,58.1,340.0,4.3,22,0,111.1
KHM-B0408,Phnom Penh,94.8,33.5,455.0,7.3,13,0,103.6
KHM-B0409,Phnom Penh,134.7,23.8,539.0,6.6,14,0,130.2
KHM-B0410,Phnom Penh,77.2,42.1,99.0,8.0,15,1,97.4
KHM-B0411,Phnom Penh,100.0,29.9,812.0,3.0,10,0,101.1
KHM-B0412,Phnom Penh,102.4,48.7,421.0,7.0,3,0,111.0
KHM-B0413,Phnom Penh,97.1,57.8,448.0,6.0,11,0,100.7
KHM-B0414,Phnom Penh,96.8,42.6,651.0,5.5,23,0,103.1
KHM-B0415,Phnom Penh,40.0,24.1,494.0,8.3,5,0,57.4
KHM-B0416,Phnom Penh,125.2,23.0,1055.0,3.4,21,1,128.1
KHM-B0417,Phnom Penh,119.4,81.4,168.0,5.5,30,0,120.1
KHM-B0418,Phnom Penh,118.5,10.0,32.0,6.0,28,0,128.2
KHM-B0419,Phnom Penh,50.9,29.8,142.0,4.8,22,0,65.0
KHM-B0420,Phnom Penh,82.2,30.9,135.0,5.3,15,0,80.6
KHM-B0421,Phnom Penh,96.0,77.3,417.0,5.6,1,0,104.9
KHM-B0422,Phnom Penh,99.8,42.4,102.0,4.0,28,0,99.4
KHM-B0423,Phnom Penh,110.4,31.2,757.0,10.2,1,0,111.3
KHM-B0424,Phnom Penh,80.9,40.5,251.0,5.7,3,0,88.0
KHM-B0425,Phnom Penh,114.8,35.9,1157.0,5.7,5,0,111.6
KHM-B0426,Phnom Penh,121.0,25.4,806.0,8.0,12,1,130.5
KHM-B0427,Phnom Penh,102.9,10.0,284.0,9.9,17,0,112.1
KHM-B0428,Phnom Penh,92.8,24.8,594.0,5.2,24,0,89.7
KHM-B0429,Phnom Penh,93.0,22.5,595.0,10.3,8,1,103.5
KHM-B0430,Phnom Penh,118.3,25.1,582.0,6.2,28,0,126.0
KHM-B0431,Phnom Penh,97.2,36.4,971.0,5.0,20,0,104.5
KHM-B0432,Phnom Penh,109.3,24.3,297.0,4.8,3,0,114.6
KHM-B0433,Phnom Penh,114.6,13.8,420.0,6.5,2,1,128.5
KHM-B0434,Phnom Penh,75.8,33.8,546.0,5.9,21,0,83.5
KHM-B0435,Phnom Penh,87.2,18.4,520.0,6.6,10,0,106.2
KHM-B0436,Phnom Penh,83.7,50.2,576.0,8.6,5,0,83.4
KHM-B0437,Phnom Penh,111.4,37.9,89.0,4.8,26,0,112.0
KHM-B0438,Phnom Penh,114.4,36.9,432.0,7.1,5,1,114.0
KHM-B0439,Phnom Penh,88.7,25.9,380.0,7.3,22,0,102.0
KHM-B0440,Phnom Penh,93.4,15.3,196.0,7.2,6,0,103.1
KHM-B0441,Phnom Penh,126.6,53.2,577.0,8.5,26,0,125.8
KHM-B0442,Phnom Penh,98.1,22.1,324.0,8.8,14,0,106.8
KHM-B0443,Phnom Penh,97.1,80.8,917.0,10.3,27,0,105.3
KHM-B0444,Phnom Penh,126.8,29.2,244.0,9.4,21,0,130.9
KHM-B0445,Phnom Penh,108.2,12.3,370.0,9.1,23,1,119.4
KHM-B0446,Phnom Penh,137.8,17.8,350.0,4.2,26,0,128.7
KHM-B0447,Phnom Penh,79.2,33.6,162.0,5.9,26,0,89.6
KHM-B0448,Phnom Penh,102.8,51.5,510.0,5.6,1,0,107.9
KHM-B0449,Phnom Penh,61.6,31.1,600.0,6.0,2,0,77.0
KHM-B0450,Phnom Penh,104.8,27.3,275.0,5.4,18,0,111.0
KHM-B0451,Phnom Penh,49.2,17.3,269.0,7.7,28,0,64.3
KHM-B0452,Phnom Penh,96.2,19.0,1800.0,2.0,29,0,108.9
KHM-B0453,Phnom Penh,106.9,71.8,401.0,8.8,25,0,118.3
KHM-B0454,Phnom Penh,96.2,15.0,189.0,6.0,19,0,97.9
KHM-B0455,Phnom Penh,125.7,14.9,307.0,4.6,13,1,122.8
KHM-B0456,Phnom Penh,83.5,89.3,826.0,3.4,5,0,84.2
KHM-B0457,Phnom Penh,106.0,16.6,53.0,4.1,11,0,106.8
KHM-B0458,Phnom Penh,134.9,17.7,217.0,7.5,1,1,132.3
KHM-B0459,Phnom Penh,126.6,41.6,632.0,5.7,30,0,134.3
KHM-B0460,Phnom Penh,114.8,25.0,858.0,8.5,26,1,119.7
KHM-B0461,Phnom Penh,106.1,20.2,145.0,3.3,4,0,112.3
KHM-B0462,Phnom Penh,64.7,20.3,149.0,5.6,4,0,74.0
KHM-B0463,Phnom Penh,158.2,23.2,570.0,10.0,26,1,155.5
KHM-B0464,Phnom Penh,95.4,43.2,315.0,4.5,24,0,103.4
KHM-B0465,Phnom Penh,109.3,31.4,195.0,4.3,11,0,123.9
KHM-B0466,Phnom Penh,104.9,36.5,313.0,6.5,13,1,100.8
KHM-B0467,Phnom Penh,110.2,40.3,56.0,3.3,11,1,113.3
KHM-B0468,Phnom Penh,123.2,28.3,767.0,6.6,18,0,117.5
KHM-B0469,Phnom Penh,98.4,38.7,833.0,6.9,14,0,105.5
KHM-B0470,Phnom Penh,132.2,42.0,883.0,2.0,13,1,134.9
KHM-B0471,Phnom Penh,82.0,50.2,515.0,8.5,12,0,87.1
KHM-B0472,Phnom Penh,83.1,22.5,483.0,4.2,4,0,90.8
KHM-B0473,Phnom Penh,79.7,29.2,989.0,4.9,20,0,87.6
KHM-B0474,Phnom Penh,105.0,38.0,332.0,6.1,6,0,110.7
KHM-B0475,Phnom Penh,93.1,111.8,553.0,2.1,17,0,112.5
KHM-B0476,Phnom Penh,114.3,44.1,297.0,6.5,7,0,116.4
KHM-B0477,Phnom Penh,98.9,17.1,331.0,4.2,15,1,110.5
KHM-B0478,Phnom Penh,72.5,53.1,304.0,8.7,5,0,77.1
KHM-B0479,Phnom Penh,105.6,27.5,135.0,10.3,5,1,114.8
KHM-B0480,Phnom Penh,76.8,31.7,760.0,5.2,12,0,78.6
KHM-B0481,Phnom Penh,128.0,19.8,661.0,4.4,12,0,136.4
KHM-B0482,Phnom Penh,122.4,71.8,636.0,6.7,9,1,131.6
KHM-B0483,Phnom Penh,84.9,27.4,355.0,6.7,22,1,95.4
KHM-B0484,Phnom Penh,110.9,19.3,535.0,3.7,1,0,121.2
KHM-B0485,Phnom Penh,114.5,24.4,69.0,5.2,22,1,121.2
KHM-B0486,Phnom Penh,76.5,12.2,523.0,10.5,4,0,84.8
KHM-B0487,Phnom Penh,101.3,44.0,222.0,7.4,30,0,109.6
KHM-B0488,Phnom Penh,96.9,20.0,225.0,8.8,16,1,98.9
KHM-B0489,Phnom Penh,77.7,27.3,404.0,3.3,20,0,89.1
KHM-B0490,Phnom Penh,101.0,38.4,630.0,2.0,7,0,99.6
KHM-B0491,Phnom Penh,78.0,21.0,773.0,7.6,25,1,97.0
KHM-B0492,Phnom Penh,131.0,39.4,525.0,3.1,1,0,134.6
KHM-B0493,Phnom Penh,110.0,14.8,592.0,8.8,24,1,113.4
KHM-B0494,Phnom Penh,101.7,21.8,371.0,7.5,2,1,111.9
KHM-B0495,Phnom Penh,101.0,39.1,1058.0,4.8,17,1,109.8
KHM-B0496,Phnom Penh,79.6,31.4,379.0,5.6,19,0,85.4
KHM-B0497,Phnom Penh,80.2,60.5,1189.0,6.2,1,0,82.3
KHM-B0498,Phnom Penh,100.2,41.0,405.0,6.9,17,0,114.6
KHM-B0499,Phnom Penh,83.1,26.5,411.0,6.4,8,0,93.9
KHM-B0500,Phnom Penh,141.8,19.6,663.0,9.9,27,0,133.5
KHM-B0501,Phnom Penh,99.9,15.5,121.0,3.7,30,0,97.8
KHM-B0502,Phnom Penh,73.6,21.9,1719.0,6.9,24,0,93.7
KHM-B0503,Phnom Penh,115.1,19.9,267.0,7.1,2,1,131.6
KHM-B0504,Phnom Penh,125.2,33.8,445.0,10.7,25,0,120.0
KHM-B0505,Phnom Penh,109.3,21.4,643.0,5.9,5,0,114.3
KHM-B0506,Phnom Penh,93.3,27.8,416.0,5.2,1,0,85.5
KHM-B0507,Phnom Penh,90.4,25.1,237.0,5.2,15,0,100.8
KHM-B0508,Phnom Penh,53.5,26.6,394.0,3.4,17,0,67.5
KHM-B0509,Phnom Penh,81.3,25.7,356.0,2.7,20,0,84.5
KHM-B0510,Phnom Penh,82.2,35.9,496.0,5.2,23,0,91.6
KHM-B0511,Phnom Penh,51.2,40.2,1283.0,2.7,17,0,64.3
KHM-B0512,Phnom Penh,130.6,30.6,534.0,4.8,22,1,139.1
KHM-B0513,Phnom Penh,101.7,24.6,553.0,7.2,6,1,112.7
KHM-B0514,Phnom Penh,96.3,22.4,667.0,7.5,3,1,100.3
KHM-B0515,Phnom Penh,105.1,15.8,455.0,9.6,15,0,107.7
KHM-B0516,Phnom Penh,87.7,34.7,494.0,6.5,19,0,85.2
KHM-B0517,Phnom Penh,56.2,43.4,425.0,7.5,11,0,71.7
KHM-B0518,Phnom Penh,99.4,28.9,177.0,5.6,18,0,116.2
KHM-B0519,Phnom Penh,78.6,28.5,866.0,3.1,9,0,90.1
KHM-B0520,Phnom Penh,107.6,43.2,524.0,5.3,28,0,100.5
KHM-B0521,Phnom Penh,138.4,38.4,196.0,6.9,25,1,145.6
KHM-B0522,Phnom Penh,141.7,31.0,372.0,5.3,10,0,148.9
KHM-B0523,Phnom Penh,105.4,21.2,167.0,5.6,21,0,111.2
KHM-B0524,Phnom Penh,149.2,51.9,85.0,5.8,18,1,146.4
KHM-B0525,Phnom Penh,114.2,26.7,1021.0,8.2,1,1,127.1
KHM-B0526,Phnom Penh,80.3,49.4,220.0,5.5,5,0,86.9
KHM-B0527,Phnom Penh,82.6,23.1,265.0,6.9,4,0,95.6
KHM-B0528,Phnom Penh,120.9,10.6,380.0,6.0,27,0,112.0
KHM-B0529,Phnom Penh,138.4,13.6,538.0,7.7,17,0,141.3
KHM-B0530,Phnom Penh,88.7,13.3,279.0,3.6,21,0,98.8
KHM-B0531,Phnom Penh,55.6,19.3,173.0,7.6,25,0,66.5
KHM-B0532,Phnom Penh,82.3,37.1,341.0,8.5,4,0,86.1
KHM-B0533,Phnom Penh,94.1,45.8,260.0,7.7,30,0,92.1
KHM-B0534,Phnom Penh,102.8,38.7,806.0,6.6,25,0,104.8
KHM-B0535,Phnom Penh,104.7,44.7,334.0,6.5,10,1,119.2
KHM-B0536,Phnom Penh,81.0,33.6,793.0,9.1,13,0,89.1
KHM-B0537,Phnom Penh,85.6,40.5,834.0,7.5,14,0,82.8
KHM-B0538,Phnom Penh,100.5,66.3,582.0,5.7,13,0,111.8
KHM-B0539,Phnom Penh,106.6,36.4,62.0,8.8,5,1,116.7
KHM-B0540,Phnom Penh,101.8,26.3,126.0,5.5,18,1,104.3
KHM-B0541,Phnom Penh,127.6,17.4,578.0,7.9,4,0,124.4
KHM-B0542,Phnom Penh,98.9,20.6,569.0,4.7,21,0,100.4
KHM-B0543,Phnom Penh,98.0,23.5,160.0,10.1,19,0,92.6
KHM-B0544,Phnom Penh,127.5,18.6,195.0,7.2,25,0,123.4
KHM-B0545,Phnom Penh,90.0,17.1,280.0,6.1,21,0,92.2
KHM-B0546,Phnom Penh,86.8,32.8,20.0,3.9,25,0,89.3
KHM-B0547,Phnom Penh,69.2,50.1,662.0,7.7,20,0,86.9
KHM-B0548,Phnom Penh,61.9,40.0,763.0,4.4,29,0,69.7
KHM-B0549,Phnom Penh,107.3,47.2,530.0,3.4,8,1,119.4
KHM-B0550,Phnom Penh,97.0,41.4,436.0,4.8,25,0,102.3
KHM-B0551,Phnom Penh,56.2,36.1,1160.0,6.1,1,0,69.3
KHM-B0552,Phnom Penh,102.3,43.3,971.0,6.4,14,0,109.3
KHM-B0553,Phnom Penh,119.7,42.2,535.0,2.5,1,1,126.5
KHM-B0554,Phnom Penh,98.2,29.4,508.0,9.8,2,0,110.4
KHM-B0555,Phnom Penh,99.0,14.8,560.0,4.7,17,1,113.3
KHM-B0556,Phnom Penh,119.8,67.2,945.0,8.3,26,1,126.8
KHM-B0557,Phnom Penh,85.8,44.5,166.0,8.2,23,1,102.4
KHM-B0558,Phnom Penh,91.0,50.6,724.0,7.5,5,0,96.4
KHM-B0559,Phnom Penh,92.7,24.8,364.0,4.7,15,0,89.3
KHM-B0560,Phnom Penh,112.3,14.0,384.0,10.5,23,1,120.9
KHM-B0561,Phnom Penh,112.7,23.6,302.0,4.4,8,0,113.9
KHM-B0562,Phnom Penh,125.7,38.4,874.0,7.3,2,1,128.5
KHM-B0563,Phnom Penh,110.1,29.6,349.0,3.4,8,0,109.1
KHM-B0564,Phnom Penh,85.9,35.6,258.0,9.6,19,1,86.6
KHM-B0565,Phnom Penh,92.4,31.5,501.0,4.9,4,0,84.4
KHM-B0566,Phnom Penh,69.5,13.8,838.0,7.8,26,0,77.2
KHM-B0567,Phnom Penh,111.6,12.8,117.0,4.3,25,0,112.5
KHM-B0568,Phnom Penh,160.1,21.9,761.0,4.9,26,0,159.3
KHM-B0569,Phnom Penh,98.9,10.0,655.0,4.2,22,1,97.9
KHM-B0570,Phnom Penh,64.2,55.7,586.0,8.1,2,0,87.4
KHM-B0571,Phnom Penh,51.4,32.5,190.0,8.0,6,0,58.8
KHM-B0572,Phnom Penh,67.8,30.4,565.0,3.3,12,0,81.2
KHM-B0573,Phnom Penh,140.2,39.6,536.0,6.4,7,1,144.9
KHM-B0574,Phnom Penh,106.2,24.4,280.0,7.4,27,0,117.5
KHM-B0575,Phnom Penh,120.3,10.9,123.0,11.4,26,1,128.6
KHM-B0576,Phnom Penh,95.0,34.2,346.0,6.6,7,1,101.5
KHM-B0577,Phnom Penh,79.3,29.2,224.0,6.7,9,0,86.7
KHM-B0578,Phnom Penh,110.4,40.5,350.0,6.5,22,1,126.4
KHM-B0579,Phnom Penh,108.6,21.1,1025.0,3.8,3,0,101.2
KHM-B0580,Phnom Penh,146.9,36.2,113.0,9.4,28,1,144.3
KHM-B0581,Phnom Penh,98.7,28.7,661.0,9.3,7,0,106.6
KHM-B0582,Phnom Penh,135.3,26.2,139.0,6.8,7,0,131.5
KHM-B0583,Phnom Penh,68.6,47.1,506.0,6.9,9,0,77.2
KHM-B0584,Phnom Penh,80.3,34.9,344.0,9.6,6,1,101.9
KHM-B0585,Phnom Penh,99.8,24.9,272.0,4.8,28,1,112.1
KHM-B0586,Phnom Penh,54.6,14.4,239.0,5.7,18,0,75.2
KHM-B0587,Phnom Penh,94.7,35.2,412.0,8.7,29,0,102.8
KHM-B0588,Phnom Penh,76.6,36.0,577.0,6.6,15,0,83.2
KHM-B0589,Phnom Penh,74.5,25.5,954.0,5.1,1,0,71.5
KHM-B0590,Phnom Penh,90.0,18.3,596.0,8.0,16,0,99.0
KHM-B0591,Phnom Penh,87.7,40.4,640.0,8.3,7,1,89.6
KHM-B0592,Phnom Penh,136.6,34.8,816.0,2.0,2,1,133.5
KHM-B0593,Phnom Penh,121.4,13.2,688.0,7.4,26,0,122.9
KHM-B0594,Phnom Penh,129.9,29.0,732.0,8.6,5,1,124.2
KHM-B0595,Phnom Penh,84.7,25.3,67.0,7.8,17,1,106.8
KHM-B0596,Phnom Penh,101.0,25.8,1043.0,5.4,23,0,103.3
KHM-B0597,Phnom Penh,94.5,49.1,570.0,3.2,13,0,92.3
KHM-B0598,Phnom Penh,48.9,32.2,718.0,6.7,22,0,66.1
KHM-B0599,Phnom Penh,114.1,35.6,395.0,5.0,10,0,112.2
KHM-B0600,Phnom Penh,100.8,37.8,334.0,5.0,27,0,99.4
KHM-B0601,Phnom Penh,133.8,27.2,259.0,5.1,10,0,124.3
KHM-B0602,Phnom Penh,127.2,47.6,124.0,8.3,21,0,136.2
KHM-B0603,Phnom Penh,155.1,20.6,680.0,6.3,4,0,151.2
KHM-B0604,Phnom Penh,125.2,18.5,477.0,7.9,25,0,133.4
KHM-B0605,Phnom Penh,105.2,39.5,294.0,6.9,30,0,115.4
KHM-B0606,Phnom Penh,104.8,43.3,446.0,6.4,5,0,120.0
KHM-B0607,Phnom Penh,124.1,68.9,373.0,3.9,22,0,128.0
KHM-B0608,Phnom Penh,112.2,31.9,638.0,2.0,8,0,104.6
KHM-B0609,Phnom Penh,112.7,44.7,916.0,5.9,10,0,116.5
KHM-B0610,Phnom Penh,54.1,29.0,426.0,9.2,19,0,59.3
KHM-B0611,Phnom Penh,86.0,28.9,113.0,8.9,8,1,103.6
KHM-B0612,Phnom Penh,88.0,42.7,206.0,5.1,19,0,90.9
KHM-B0613,Phnom Penh,124.6,63.4,368.0,8.5,9,0,131.2
KHM-B0614,Phnom Penh,148.9,16.8,560.0,2.9,24,1,145.1
KHM-B0615,Phnom Penh,68.1,17.0,271.0,6.3,3,1,82.7
KHM-B0616,Phnom Penh,138.3,12.2,388.0,5.1,19,0,122.6
KHM-B0617,Phnom Penh,107.6,55.1,169.0,5.4,28,0,112.4
KHM-B0618,Phnom Penh,62.4,55.5,385.0,13.7,15,1,87.5
KHM-B0619,Phnom Penh,69.7,19.1,567.0,6.0,10,0,80.1
KHM-B0620,Phnom Penh,66.5,34.6,946.0,5.0,17,0,72.6
KHM-B0621,Phnom Penh,107.4,35.6,303.0,6.0,15,0,108.0
KHM-B0622,Phnom Penh,108.1,43.2,269.0,10.0,20,0,113.5
KHM-B0623,Phnom Penh,81.9,16.0,368.0,6.8,1,1,87.8
KHM-B0624,Phnom Penh,125.3,50.2,993.0,13.2,16,0,123.6
KHM-B0625,Phnom Penh,132.7,44.1,314.0,8.3,30,1,139.9
KHM-B0626,Phnom Penh,111.6,56.6,56.0,5.9,15,0,113.7
KHM-B0627,Phnom Penh,90.8,48.5,133.0,8.3,29,0,92.0
KHM-B0628,Phnom Penh,57.6,58.9,323.0,6.1,10,0,70.4
KHM-B0629,Phnom Penh,104.1,33.5,368.0,4.0,5,1,101.9
KHM-B0630,Phnom Penh,89.2,106.6,397.0,8.5,18,0,102.7
KHM-B0631,Phnom Penh,73.6,27.7,359.0,7.8,18,0,81.5
KHM-B0632,Phnom Penh,124.3,50.3,280.0,2.0,8,0,122.1
KHM-B0633,Phnom Penh,104.6,26.2,351.0,5.2,2,0,114.5
KHM-B0634,Phnom Penh,104.2,40.0,644.0,4.2,23,0,103.6
KHM-B0635,Phnom Penh,98.8,54.2,372.0,2.0,4,0,108.4
KHM-B0636,Phnom Penh,108.2,45.5,607.0,8.4,11,0,125.5
KHM-B0637,Phnom Penh,128.6,22.4,480.0,4.6,3,1,122.7
KHM-B0638,Phnom Penh,63.4,27.9,371.0,4.7,8,0,69.0
KHM-B0639,Phnom Penh,116.6,25.0,235.0,8.9,4,1,134.5
KHM-B0640,Phnom Penh,125.5,34.6,62.0,7.9,10,0,121.6
KHM-B0641,Phnom Penh,86.4,37.5,1035.0,7.3,26,0,92.4
KHM-B0642,Phnom Penh,83.5,73.4,361.0,7.2,17,1,98.7
KHM-B0643,Phnom Penh,119.4,30.8,29.0,6.0,1,0,121.3
KHM-B0644,Phnom Penh,105.2,37.5,576.0,6.8,20,1,122.5
KHM-B0645,Phnom Penh,88.7,21.5,718.0,6.2,3,0,86.8
KHM-B0646,Phnom Penh,78.9,39.3,139.0,6.7,11,0,94.6
KHM-B0647,Phnom Penh,113.3,55.3,649.0,6.5,4,1,109.1
KHM-B0648,Phnom Penh,101.8,26.6,563.0,10.4,6,0,105.4
KHM-B0649,Phnom Penh,113.9,28.4,695.0,6.5,26,0,117.6
KHM-B0650,Phnom Penh,105.0,58.7,537.0,3.7,8,0,112.7
KHM-B0651,Phnom Penh,117.3,33.3,622.0,5.7,20,0,109.8
KHM-B0652,Phnom Penh,83.8,28.3,514.0,8.6,30,0,84.4
KHM-B0653,Phnom Penh,110.5,44.0,616.0,8.4,18,1,117.2
KHM-B0654,Phnom Penh,86.1,41.4,74.0,6.9,29,0,92.6
KHM-B0655,Phnom Penh,94.7,14.7,899.0,7.3,4,0,98.7
KHM-B0656,Phnom Penh,133.5,43.6,222.0,6.6,28,1,143.0
KHM-B0657,Phnom Penh,79.5,50.6,997.0,6.7,17,0,88.5
KHM-B0658,Phnom Penh,126.7,18.0,1190.0,4.7,8,0,129.1
KHM-B0659,Phnom Penh,120.6,12.3,150.0,9.0,21,0,117.0
KHM-B0660,Phnom Penh,118.3,31.9,241.0,2.0,3,0,119.4
KHM-B0661,Phnom Penh,81.3,42.0,123.0,6.1,5,0,96.1
KHM-B0662,Phnom Penh,103.9,64.1,171.0,6.0,27,0,103.2
KHM-B0663,Phnom Penh,96.1,33.0,790.0,6.4,6,0,106.0
KHM-B0664,Phnom Penh,132.3,29.8,528.0,5.7,14,1,125.2
KHM-B0665,Phnom Penh,122.1,19.8,439.0,2.9,20,0,122.8
KHM-B0666,Phnom Penh,112.8,40.9,261.0,6.8,16,0,118.4
KHM-B0667,Phnom Penh,109.4,61.9,1168.0,6.6,7,0,117.2
KHM-B0668,Phnom Penh,113.7,26.0,135.0,6.4,3,0,108.7
KHM-B0669,Phnom Penh,88.6,40.2,1112.0,7.8,2,1,106.6
KHM-B0670,Phnom Penh,104.8,24.0,678.0,9.1,15,1,112.4
KHM-B0671,Phnom Penh,102.1,55.6,531.0,4.0,10,0,95.0
KHM-B0672,Phnom Penh,100.8,26.5,1243.0,6.3,14,0,104.7
KHM-B0673,Phnom Penh,69.8,36.8,259.0,7.4,7,0,80.4
KHM-B0674,Phnom Penh,114.4,33.4,353.0,5.3,30,1,116.5
KHM-B0675,Phnom Penh,93.8,25.2,1240.0,3.4,30,0,94.4
KHM-B0676,Phnom Penh,76.6,73.9,905.0,10.7,22,0,84.5
KHM-B0677,Phnom Penh,101.8,46.9,285.0,6.9,4,0,103.5
KHM-B0678,Phnom Penh,112.8,27.1,1800.0,4.1,17,0,119.8
KHM-B0679,Phnom Penh,88.1,30.1,1043.0,4.0,10,0,88.6
KHM-B0680,Phnom Penh,146.3,32.6,434.0,8.2,10,0,148.9
KHM-B0681,Phnom Penh,78.3,22.9,586.0,5.5,11,1,78.7
KHM-B0682,Phnom Penh,87.2,51.8,1321.0,6.0,27,0,103.5
KHM-B0683,Phnom Penh,128.5,27.6,191.0,5.6,28,0,120.7
KHM-B0684,Phnom Penh,111.2,21.5,252.0,3.9,6,0,113.5
KHM-B0685,Phnom Penh,101.8,29.0,391.0,2.0,20,0,120.3
KHM-B0686,Phnom Penh,117.5,30.5,366.0,5.5,12,0,120.5
KHM-B0687,Phnom Penh,85.3,35.7,844.0,8.2,16,1,88.8
KHM-B0688,Phnom Penh,104.6,15.3,475.0,5.3,20,1,108.0
KHM-B0689,Phnom Penh,126.6,21.5,277.0,6.1,6,0,118.6
KHM-B0690,Phnom Penh,86.3,12.5,409.0,5.5,27,0,97.4
KHM-B0691,Phnom Penh,69.9,50.0,643.0,8.9,10,1,94.6
KHM-B0692,Phnom Penh,88.1,19.3,344.0,7.6,3,1,101.6
KHM-B0693,Phnom Penh,134.3,31.7,326.0,7.3,17,1,137.5
KHM-B0694,Phnom Penh,124.6,27.0,445.0,7.9,7,1,121.2
