hhid,hv001,hv002,hv005,hv009,hv024,hv025,hv201,hv205,hv206,hv270,hv271,serv_1,serv_2,serv_3,sat_1,sat_2,sat_3,ctx_infra_index,y_wellbeing
0011 025,11,25,796986,8,1,1,21,31,0,4,37560,4,3,4,3,2,3,-0.502,3.42
0012 001,12,1,1194553,4,1,1,31,22,1,2,-81155,3,4,3,3,3,3,-0.267,2.712
0012 002,12,2,855771,7,1,1,32,12,0,2,-57716,3,3,3,3,3,3,-0.267,4.417
0012 003,12,3,904133,3,1,1,32,12,0,2,-41322,3,3,2,3,3,3,-0.267,2.694
0012 004,12,4,1019783,3,1,1,21,21,1,5,118839,3,4,4,3,4,3,-0.267,2.179
0012 005,12,5,1094756,9,1,1,13,21,1,3,17075,4,3,4,3,3,2,-0.267,4.133
0012 006,12,6,1044122,10,1,1,11,12,0,1,-131561,3,3,3,3,3,3,-0.267,1.751
0012 007,12,7,972832,6,1,1,12,12,0,2,-32552,4,4,4,4,5,4,-0.267,3.112
0012 008,12,8,864462,3,1,1,21,21,1,3,-27183,4,4,4,4,4,3,-0.267,2.153
0012 009,12,9,1106459,7,1,1,11,31,1,4,75465,4,4,4,4,3,3,-0.267,2.894
0012 010,12,10,973322,5,1,1,12,12,0,3,-17384,3,3,3,3,4,4,-0.267,4.629
0012 011,12,11,879315,5,1,1,31,11,0,3,-17290,3,3,2,4,4,4,-0.267,2.773
0012 012,12,12,1275635,8,1,1,12,22,0,2,-52561,3,3,4,2,3,2,-0.267,0.415
0012 013,12,13,1184640,4,1,1,12,12,0,3,29842,5,4,3,3,3,3,-0.267,1.552
0012 014,12,14,1074077,7,1,1,32,21,0,1,-113780,3,4,3,4,3,3,-0.267,2.915
0012 015,12,15,841647,3,1,1,21,12,1,5,115385,5,4,5,3,4,4,-0.267,0.35
0012 016,12,16,984770,4,1,1,11,22,0,3,-8509,3,3,3,2,2,2,-0.267,2.767
0012 017,12,17,1233789,5,1,1,12,12,1,4,46315,4,3,4,3,3,2,-0.267,1.369
0012 018,12,18,874422,3,1,1,32,21,0,4,98468,3,4,3,3,4,4,-0.267,2.943
0012 019,12,19,973199,10,1,1,21,21,0,3,-15180,3,3,3,2,3,3,-0.267,0.32
0012 020,12,20,1147148,2,1,1,32,11,0,5,143652,4,3,3,4,4,4,-0.267,3.008
0012 021,12,21,1022628,7,1,1,11,11,1,4,75538,4,4,4,3,3,3,-0.267,2.479
0012 022,12,22,764583,4,1,1,11,12,1,4,96051,4,3,3,3,4,3,-0.267,2.406
0012 023,12,23,917702,3,1,1,31,12,1,4,50801,4,4,3,3,3,2,-0.267,2.861
0012 024,12,24,768219,4,1,1,31,22,1,3,-21869,2,3,3,4,4,4,-0.267,1.275
0012 025,12,25,975950,5,1,1,12,12,0,2,-63011,3,3,3,4,5,4,-0.267,1.817
0013 001,13,1,954245,5,1,1,11,21,1,2,-61213,5,4,4,4,3,4,-0.499,4.897
0013 002,13,2,824353,4,1,1,31,11,0,2,-84018,3,3,3,4,4,4,-0.499,2.49
0013 003,13,3,1245641,6,1,1,11,21,1,2,-79980,3,3,4,4,4,3,-0.499,3.77
0013 004,13,4,779838,4,1,1,11,22,0,3,10308,3,3,3,3,3,3,-0.499,2.355
0013 005,13,5,1085568,4,1,1,21,21,0,1,-110311,3,2,3,1,1,2,-0.499,1.286
0013 006,13,6,940587,5,1,1,32,21,0,5,145683,2,3,3,2,2,2,-0.499,2.757
0013 007,13,7,857486,5,1,1,21,12,0,2,-88904,3,4,4,3,3,2,-0.499,2.175
0013 008,13,8,1056898,7,1,1,21,22,1,2,-44548,3,3,4,2,2,2,-0.499,2.064
0013 009,13,9,1171392,4,1,1,11,22,1,2,-89799,4,3,4,4,4,3,-0.499,2.648
0013 010,13,10,1074931,4,1,1,12,11,0,1,-128019,3,2,3,3,3,2,-0.499,2.471
0013 011,13,11,948077,4,1,1,21,21,1,3,7245,3,3,4,4,3,3,-0.499,1.214
0013 012,13,12,1000048,7,1,1,12,11,1,2,-53533,3,3,3,3,3,3,-0.499,2.934
0013 013,13,13,1064240,5,1,1,13,21,0,2,-80127,3,4,4,3,4,4,-0.499,4.199
0013 014,13,14,980097,8,1,1,31,11,0,2,-46979,3,3,3,3,3,3,-0.499,2.678
0013 015,13,15,1330113,9,1,1,12,11,0,1,-132406,3,4,3,3,3,3,-0.499,2.565
0013 016,13,16,904563,3,1,1,21,21,1,3,-26964,3,3,3,2,2,2,-0.499,2.092
0013 017,13,17,1047465,7,1,1,31,21,0,1,-108220,2,3,3,4,3,4,-0.499,3.507
0013 018,13,18,983994,7,1,1,31,11,0,3,2975,2,2,3,2,3,2,-0.499,3.569
0013 019,13,19,1032720,3,1,1,13,31,1,3,-25655,5,4,4,4,4,3,-0.499,3.361
0013 020,13,20,1049705,7,1,1,13,12,0,3,-7935,4,4,4,4,4,3,-0.499,2.375
0013 021,13,21,919585,4,1,1,32,11,1,5,150948,4,4,4,4,4,4,-0.499,3.835
0013 022,13,22,1037879,3,1,1,13,12,0,1,-119804,4,4,4,3,3,3,-0.499,2.636
0013 023,13,23,1143560,6,1,1,31,12,1,5,149027,4,4,4,4,3,4,-0.499,2.73
0013 024,13,24,1148877,5,1,1,31,21,0,1,-126232,3,2,2,2,3,3,-0.499,3.171
0013 025,13,25,986988,6,1,1,31,11,1,3,12572,4,3,3,3,4,3,-0.499,2.295
0014 001,14,1,1227495,6,1,1,32,11,0,1,-133985,2,3,3,3,2,3,-0.72,1.927
0014 002,14,2,1100034,6,1,1,32,12,1,5,106757,3,2,2,4,3,3,-0.72,3.134
0014 003,14,3,960740,5,1,1,21,21,0,4,43123,3,3,3,3,5,4,-0.72,1.768
0014 004,14,4,831503,6,1,1,11,21,0,2,-50254,2,2,2,3,3,3,-0.72,0.849
0014 005,14,5,1025001,3,1,1,31,12,0,1,-104118,3,4,3,2,2,3,-0.72,3.36
0014 006,14,6,1000877,3,1,1,12,12,1,5,208086,4,3,4,4,4,3,-0.72,3.583
0014 007,14,7,884225,8,1,1,12,12,0,2,-76787,4,4,4,2,2,3,-0.72,0.784
0014 008,14,8,1095112,12,1,1,32,31,0,2,-58812,2,3,3,3,3,2,-0.72,1.704
0014 009,14,9,731384,5,1,1,31,21,1,3,14330,3,3,3,3,3,3,-0.72,3.607
0014 010,14,10,1006766,7,1,1,12,11,0,4,56862,3,4,3,2,3,3,-0.72,3.526
0014 011,14,11,1144923,7,1,1,21,12,0,1,-133559,3,3,3,3,3,3,-0.72,2.612
0014 012,14,12,933139,5,1,1,11,11,0,2,-50634,3,3,3,3,2,3,-0.72,1.315
0014 013,14,13,796217,5,1,1,21,11,0,3,-24735,4,3,4,3,3,4,-0.72,1.829
0014 014,14,14,1023725,4,1,1,11,11,1,4,94530,5,4,5,4,4,4,-0.72,2.378
0014 015,14,15,967240,1,1,1,21,22,0,3,8110,2,2,1,3,2,3,-0.72,3.883
0014 016,14,16,850960,3,1,1,11,21,1,1,-154411,4,4,3,2,2,2,-0.72,3.442
0014 017,14,17,987504,5,1,1,21,22,0,3,2416,2,3,3,3,2,3,-0.72,1.783
0014 018,14,18,1078136,8,1,1,11,31,0,1,-139738,3,3,3,3,3,3,-0.72,1.684
0014 019,14,19,949219,3,1,1,12,11,0,2,-85428,4,4,3,2,2,3,-0.72,2.381
0014 020,14,20,975697,6,1,1,31,22,0,2,-59422,1,2,2,3,4,3,-0.72,2.448
0014 021,14,21,957780,1,1,1,32,21,0,3,-8061,3,4,3,4,4,3,-0.72,2.069
0014 022,14,22,788797,5,1,1,31,21,0,1,-124627,3,3,2,2,2,3,-0.72,2.399
0014 023,14,23,1189146,5,1,1,11,21,1,2,-71209,3,4,4,4,4,4,-0.72,4.582
0014 024,14,24,662248,6,1,1,12,12,0,1,-154131,3,3,3,3,2,3,-0.72,1.149
0014 025,14,25,1102811,5,1,1,32,21,0,1,-199477,3,2,2,3,2,3,-0.72,1.192
0015 001,15,1,941744,5,1,1,13,31,1,2,-39585,5,4,4,3,3,4,-0.238,3.617
0015 002,15,2,673203,3,1,1,31,11,1,3,-22071,4,4,4,2,3,3,-0.238,2.802
0015 003,15,3,904648,4,1,1,11,21,0,1,-166902,4,4,4,3,3,4,-0.238,4.154
0015 004,15,4,1028600,4,1,1,21,22,1,3,-10326,3,3,3,3,4,4,-0.238,4.997
0015 005,15,5,1045108,9,1,1,12,22,1,4,69123,3,3,4,4,4,4,-0.238,2.592
0015 006,15,6,833923,6,1,1,13,11,1,4,54758,4,4,3,4,4,4,-0.238,4.078
0015 007,15,7,869597,10,1,1,12,11,1,2,-67176,4,4,4,3,3,3,-0.238,3.644
0015 008,15,8,867657,3,1,1,32,21,1,4,78358,3,4,4,4,4,4,-0.238,3.781
0015 009,15,9,746003,4,1,1,11,11,1,3,8099,3,3,3,2,3,3,-0.238,1.894
0015 010,15,10,1058633,3,1,1,12,21,0,2,-58033,4,3,4,4,3,4,-0.238,3.907
0015 011,15,11,1143244,8,1,1,12,21,0,1,-142363,4,3,4,3,3,3,-0.238,4.349
0015 012,15,12,1100738,7,1,1,21,11,1,3,-2778,3,4,4,4,3,3,-0.238,4.674
0015 013,15,13,789932,3,1,1,12,12,1,5,122606,5,4,4,2,4,3,-0.238,3.445
0015 014,15,14,813778,2,1,1,12,12,0,3,26942,4,4,4,3,4,3,-0.238,3.331
0015 015,15,15,1067382,6,1,1,31,11,0,2,-48543,3,3,3,3,3,3,-0.238,2.517
0015 016,15,16,820081,4,1,1,31,11,1,5,102891,3,4,3,3,3,3,-0.238,2.849
0015 017,15,17,1209812,6,1,1,32,11,1,4,37439,3,3,3,4,4,4,-0.238,4.96
0015 018,15,18,954022,6,1,1,21,22,1,3,-26710,3,3,3,3,3,3,-0.238,5.427
0015 019,15,19,1063453,5,1,1,31,22,1,3,-9465,3,3,3,2,2,2,-0.238,4.502
0015 020,15,20,1042197,3,1,1,13,11,1,3,-17989,3,3,3,3,3,2,-0.238,1.182
0015 021,15,21,1116802,5,1,1,11,21,0,2,-56703,3,4,3,2,2,4,-0.238,1.09
0015 022,15,22,992495,5,1,1,32,22,1,3,2277,3,3,3,3,3,3,-0.238,2.832
0015 023,15,23,938135,9,1,1,12,31,0,2,-44852,3,3,3,2,3,3,-0.238,2.499
0015 024,15,24,1064653,9,1,1,21,31,1,3,23580,3,3,3,4,3,3,-0.238,3.679
0015 025,15,25,989840,2,1,1,12,11,1,3,7661,5,4,4,3,3,3,-0.238,3.866
0016 001,16,1,1167723,7,1,1,32,22,0,4,70554,3,3,3,4,3,4,0.448,2.109
0016 002,16,2,1107118,6,1,1,12,12,1,2,-89017,5,5,5,3,3,3,0.448,3.893
0016 003,16,3,1021577,4,1,1,11,21,0,3,-5857,4,4,3,4,4,2,0.448,1.887
0016 004,16,4,1137498,9,1,1,21,11,1,4,62363,4,4,5,3,4,3,0.448,3.421
0016 005,16,5,871745,2,1,1,31,31,0,2,-63024,2,2,3,3,3,3,0.448,1.268
0016 006,16,6,937589,2,1,1,12,22,1,4,34203,3,3,4,2,3,2,0.448,2.671
0016 007,16,7,972401,4,1,1,12,12,1,2,-45070,5,4,5,4,4,3,0.448,3.368
0016 008,16,8,1057762,8,1,1,11,11,0,3,-25002,4,4,4,2,3,3,0.448,4.34
0016 009,16,9,1143170,6,1,1,11,22,1,3,4299,3,3,3,3,4,3,0.448,4.082
0016 010,16,10,970656,5,1,1,12,12,1,4,70327,5,4,3,4,4,3,0.448,3.689
0016 011,16,11,1076981,8,1,1,13,12,1,5,115493,5,4,4,4,4,4,0.448,3.415
0016 012,16,12,1053820,7,1,1,12,21,0,2,-36932,4,3,4,2,3,3,0.448,1.585
0016 013,16,13,1008221,10,1,1,12,12,1,2,-41087,5,4,5,5,4,5,0.448,4.545
0016 014,16,14,946852,6,1,1,32,12,0,3,-664,4,3,3,4,3,3,0.448,2.057
0016 015,16,15,1041995,6,1,1,13,12,0,4,82492,3,2,4,2,3,3,0.448,2.666
0016 016,16,16,1009022,8,1,1,32,31,0,3,9155,3,4,3,3,3,3,0.448,3.72
0016 017,16,17,1122543,6,1,1,13,22,1,4,46329,4,4,3,4,3,3,0.448,3.206
0016 018,16,18,1078317,5,1,1,21,11,1,3,-25833,4,4,4,2,3,3,0.448,2.601
0016 019,16,19,1061092,4,1,1,13,21,0,2,-93472,4,4,4,3,4,3,0.448,3.595
0016 020,16,20,1020512,5,1,1,13,11,1,4,35000,4,4,4,3,4,3,0.448,3.912
0016 021,16,21,949109,5,1,1,11,12,0,2,-41205,4,4,4,2,3,3,0.448,4.592
0016 022,16,22,891424,6,1,1,31,21,1,1,-172295,4,4,3,3,3,3,0.448,3.763
0016 023,16,23,1329462,5,1,1,31,11,0,4,71187,5,4,5,4,3,4,0.448,4.423
0016 024,16,24,1036699,1,1,1,11,11,0,3,-18605,4,3,4,4,4,4,0.448,2.464
0016 025,16,25,1129891,1,1,1,12,12,0,3,-24580,2,3,3,2,2,2,0.448,0.882
0017 001,17,1,1152643,5,1,1,11,12,1,5,136327,4,4,4,4,4,3,0.384,3.635
0017 002,17,2,898531,10,1,1,21,12,1,2,-69040,4,4,4,4,3,3,0.384,1.942
0017 003,17,3,1041720,8,1,1,21,12,0,1,-204246,2,2,3,3,2,3,0.384,2.266
0017 004,17,4,794504,3,1,1,11,11,0,2,-87916,4,4,3,2,2,3,0.384,3.962
0017 005,17,5,787484,5,1,1,13,12,0,3,-20336,3,3,3,3,3,3,0.384,3.278
0017 006,17,6,962536,5,1,1,21,21,0,1,-115114,4,4,3,4,4,4,0.384,4.401
0017 007,17,7,905070,4,1,1,12,11,1,2,-57384,5,4,5,3,3,3,0.384,4.108
0017 008,17,8,1045797,5,1,1,21,11,1,5,149458,3,4,4,4,4,3,0.384,3.376
0017 009,17,9,1003577,5,1,1,11,31,1,1,-101992,3,3,3,3,4,3,0.384,2.456
0017 010,17,10,1075108,7,1,1,11,22,0,4,64901,4,2,3,4,3,5,0.384,2.906
0017 011,17,11,873690,5,1,1,21,22,1,3,1160,3,3,4,3,4,3,0.384,3.87
0017 012,17,12,1078717,3,1,1,12,12,1,5,128633,5,4,4,3,4,3,0.384,3.577
0017 013,17,13,1050272,4,1,1,11,11,1,4,37442,4,4,3,3,3,4,0.384,1.62
0017 014,17,14,977278,8,1,1,21,12,1,4,74589,4,4,4,3,3,3,0.384,2.237
0017 015,17,15,928937,7,1,1,21,11,0,2,-95734,3,3,3,2,2,2,0.384,4.075
0017 016,17,16,1168438,3,1,1,12,21,0,4,52043,2,3,2,3,3,3,0.384,2.164
0017 017,17,17,1051100,2,1,1,31,11,1,4,97638,4,4,4,3,4,3,0.384,2.808
0017 018,17,18,886722,6,1,1,21,22,1,3,7083,3,3,3,5,4,4,0.384,3.77
0017 019,17,19,902098,3,1,1,31,11,0,2,-84615,3,3,3,2,2,3,0.384,1.996
0017 020,17,20,1039644,4,1,1,31,21,0,3,24467,3,3,3,2,2,3,0.384,2.507
0017 021,17,21,1236708,8,1,1,31,12,0,3,17223,4,4,4,3,4,3,0.384,3.532
0017 022,17,22,1096447,3,1,1,21,21,1,3,29360,4,4,4,2,2,3,0.384,0.552
0017 023,17,23,1132955,4,1,1,31,21,0,2,-62160,4,4,3,3,3,4,0.384,4.389
0017 024,17,24,1036455,6,1,1,12,21,0,3,23597,2,3,2,3,3,4,0.384,4.356
0017 025,17,25,1045225,6,1,1,31,21,1,3,-10027,3,3,3,3,2,3,0.384,3.527
0018 001,18,1,1142463,8,1,1,31,11,1,2,-75617,4,3,3,3,4,3,0.372,3.039
0018 002,18,2,967316,4,1,1,12,12,1,3,-29163,5,5,4,4,5,4,0.372,3.746
0018 003,18,3,1076009,8,1,1,32,12,1,3,7294,3,3,3,3,4,3,0.372,1.922
0018 004,18,4,930585,6,1,1,11,22,0,2,-32774,3,3,3,3,4,3,0.372,2.466
0018 005,18,5,1101704,4,1,1,32,21,0,3,-4136,2,3,3,4,2,3,0.372,4.128
0018 006,18,6,1026098,6,1,1,32,22,0,2,-72152,2,3,3,3,2,2,0.372,0.822
0018 007,18,7,1053258,2,1,1,21,12,0,1,-107906,3,3,3,3,3,3,0.372,3.283
0018 008,18,8,981819,6,1,1,13,21,0,5,116768,4,4,4,3,4,4,0.372,4.591
0018 009,18,9,1032660,9,1,1,11,21,0,1,-156546,4,4,3,2,3,3,0.372,2.496
0018 010,18,10,1116094,4,1,1,32,21,0,3,-17558,4,4,3,3,3,3,0.372,3.046
0018 011,18,11,917237,5,1,1,12,11,1,2,-86185,5,4,4,3,2,3,0.372,2.227
0018 012,18,12,1121765,4,1,1,31,21,0,5,113513,3,4,3,3,2,2,0.372,1.903
0018 013,18,13,848545,8,1,1,13,12,0,5,124981,4,3,3,4,4,4,0.372,2.245
0018 014,18,14,926198,4,1,1,31,12,0,1,-233295,4,4,3,3,2,3,0.372,1.982
0018 015,18,15,1051878,6,1,1,13,12,1,5,217393,5,4,4,3,3,3,0.372,3.866
0018 016,18,16,1103669,2,1,1,31,31,0,3,-6555,3,4,4,3,3,3,0.372,2.26
0018 017,18,17,924861,3,1,1,11,12,0,1,-135740,4,4,3,4,5,4,0.372,3.399
0018 018,18,18,832310,7,1,1,11,12,1,3,9937,3,3,3,3,4,4,0.372,3.33
0018 019,18,19,917026,2,1,1,21,21,0,1,-103525,3,3,3,3,3,3,0.372,2.549
0018 020,18,20,822609,6,1,1,13,31,0,4,42961,3,3,3,2,2,2,0.372,1.204
0018 021,18,21,1014802,7,1,1,32,21,0,2,-59906,2,3,2,4,4,3,0.372,4.026
0018 022,18,22,1113476,7,1,1,12,21,1,5,218274,4,4,4,4,4,4,0.372,2.772
0018 023,18,23,990994,5,1,1,12,21,1,3,17649,5,5,3,4,5,4,0.372,3.469
0018 024,18,24,969371,5,1,1,11,21,0,2,-47729,3,3,3,2,3,3,0.372,3.204
0018 025,18,25,835573,6,1,1,31,21,1,4,48400,4,3,4,3,3,2,0.372,1.197
0019 001,19,1,960676,5,1,1,11,21,0,3,-9634,4,4,4,4,4,4,-0.167,3.065
0019 002,19,2,1102242,7,1,1,21,11,1,4,40141,4,3,3,3,4,4,-0.167,3.304
0019 003,19,3,925287,5,1,1,13,12,1,4,87456,3,3,4,3,3,4,-0.167,2.854
0019 004,19,4,1135585,2,1,1,11,22,0,2,-37406,5,4,5,3,3,4,-0.167,2.193
0019 005,19,5,986188,5,1,1,12,21,1,3,29010,3,4,3,3,3,3,-0.167,1.439
0019 006,19,6,1112777,4,1,1,11,31,1,4,77924,3,3,3,4,4,4,-0.167,1.202
0019 007,19,7,1122883,5,1,1,11,11,0,2,-82780,4,3,3,3,2,3,-0.167,2.204
0019 008,19,8,1097439,8,1,1,32,12,0,1,-121644,3,2,3,2,3,3,-0.167,4.346
0019 009,19,9,1329720,3,1,1,31,22,1,4,32371,3,3,4,4,3,4,-0.167,2.359
0019 010,19,10,1063212,1,1,1,21,21,0,1,-135350,2,3,3,3,4,4,-0.167,2.224
0019 011,19,11,1244295,5,1,1,12,21,1,4,75904,3,4,4,2,4,4,-0.167,2.413
0019 012,19,12,886265,8,1,1,21,11,1,1,-170782,3,3,3,3,3,2,-0.167,2.765
0019 013,19,13,981605,3,1,1,31,21,0,1,-135135,3,2,3,3,3,3,-0.167,2.283
0019 014,19,14,1104558,4,1,1,31,22,1,1,-152812,3,3,3,3,4,3,-0.167,1.493
0019 015,19,15,891060,6,1,1,21,12,0,2,-35308,3,3,4,4,3,4,-0.167,1.766
0019 016,19,16,992910,7,1,1,21,31,0,4,64770,3,3,3,4,4,3,-0.167,3.479
0019 017,19,17,936026,7,1,1,11,12,1,2,-80043,4,3,3,2,3,2,-0.167,1.47
0019 018,19,18,904813,8,1,1,12,12,1,4,59008,3,4,4,4,4,4,-0.167,4.841
0019 019,19,19,797192,4,1,1,21,22,0,3,26191,3,3,2,3,3,3,-0.167,3.016
0019 020,19,20,1094161,4,1,1,31,22,1,1,-119660,4,4,3,2,2,2,-0.167,-1.219
0019 021,19,21,938752,4,1,1,21,12,0,2,-59137,3,3,3,3,4,4,-0.167,3.057
0019 022,19,22,955403,5,1,1,32,21,1,3,10639,3,4,4,3,3,4,-0.167,2.686
0019 023,19,23,1099854,8,1,1,11,21,1,3,23777,4,4,4,4,3,3,-0.167,3.662
0019 024,19,24,1161654,5,1,1,21,12,1,3,-9308,4,3,3,2,2,3,-0.167,3.173
0019 025,19,25,1092718,6,1,1,11,11,1,3,-12437,4,3,4,4,4,4,-0.167,3.442
0020 001,20,1,970097,12,1,1,21,21,0,2,-60598,3,3,3,3,3,3,0.83,3.783
0020 002,20,2,867406,5,1,1,21,12,0,3,-11596,4,4,3,4,3,3,0.83,2.844
0020 003,20,3,1054774,9,1,1,21,12,1,2,-51237,4,4,4,4,4,3,0.83,3.764
0020 004,20,4,849820,6,1,1,32,21,1,5,172024,3,3,4,4,3,4,0.83,2.183
0020 005,20,5,872735,6,1,1,11,21,0,3,-23130,3,4,3,3,3,2,0.83,2.345
0020 006,20,6,1038135,7,1,1,11,11,1,4,88395,4,4,4,4,4,4,0.83,3.369
0020 007,20,7,1213364,4,1,1,13,21,1,3,17516,4,4,4,3,4,4,0.83,2.015
0020 008,20,8,998954,9,1,1,12,31,0,3,2816,3,3,3,4,3,3,0.83,4.666
0020 009,20,9,1006999,6,1,1,11,31,0,2,-60970,3,3,3,3,3,3,0.83,2.731
0020 010,20,10,845638,6,1,1,11,12,1,3,16273,5,4,5,4,5,4,0.83,5.159
0020 011,20,11,932992,5,1,1,11,21,0,4,44539,2,2,2,4,4,4,0.83,3.117
0020 012,20,12,867476,8,1,1,12,12,1,4,64490,5,4,4,3,4,4,0.83,4.082
0020 013,20,13,742421,8,1,1,21,12,1,3,-7149,4,4,4,4,4,3,0.83,2.996
0020 014,20,14,914739,4,1,1,31,22,1,2,-70832,3,4,3,4,3,4,0.83,3.875
0020 015,20,15,758947,4,1,1,12,21,1,4,99714,4,3,3,3,3,3,0.83,2.878
0020 016,20,16,808265,3,1,1,21,12,0,5,139191,3,3,3,3,3,3,0.83,3.787
0020 017,20,17,1025753,6,1,1,13,12,1,3,18074,4,4,5,5,4,5,0.83,4.62
0020 018,20,18,648968,3,1,1,12,12,1,3,4711,4,4,4,3,4,4,0.83,3.938
0020 019,20,19,1101124,5,1,1,13,22,0,2,-58145,2,3,3,2,2,3,0.83,1.788
0020 020,20,20,1091172,3,1,1,21,22,1,3,14424,3,4,3,3,3,4,0.83,2.792
0020 021,20,21,817890,7,1,1,32,31,1,5,177788,4,4,4,4,5,4,0.83,3.402
0020 022,20,22,1093408,3,1,1,13,11,1,4,58651,4,5,4,4,4,4,0.83,1.785
0020 023,20,23,933702,4,1,1,12,22,1,3,-2964,4,4,4,4,4,4,0.83,1.836
0020 024,20,24,980157,4,1,1,21,22,1,3,-8679,3,3,3,4,4,5,0.83,4.097
0020 025,20,25,1044490,4,1,1,21,12,1,3,20559,4,4,4,4,4,4,0.83,4.315
0021 001,21,1,1038606,8,1,1,12,21,1,3,15702,4,3,3,4,3,3,-1.063,2.006
0021 002,21,2,980896,5,1,1,31,11,1,1,-112507,3,3,3,3,3,3,-1.063,1.996
0021 003,21,3,1130531,4,1,1,11,21,0,2,-43157,3,3,4,3,3,4,-1.063,4.173
0021 004,21,4,1024630,7,1,1,31,22,0,1,-171554,4,3,3,2,2,2,-1.063,-0.546
0021 005,21,5,933817,4,1,1,12,21,0,2,-68270,2,2,2,2,2,1,-1.063,2.011
0021 006,21,6,904628,4,1,1,21,12,1,4,97227,4,4,4,3,3,3,-1.063,1.773
0021 007,21,7,1173227,4,1,1,21,21,0,2,-53122,3,3,3,2,3,2,-1.063,1.659
0021 008,21,8,973222,8,1,1,12,21,1,1,-184467,3,4,3,1,2,2,-1.063,1.393
0021 009,21,9,967815,3,1,1,32,22,0,1,-164283,2,2,3,3,2,3,-1.063,1.21
0021 010,21,10,917986,4,1,1,13,12,0,1,-153239,4,4,3,3,3,4,-1.063,2.941
0021 011,21,11,898510,5,1,1,11,31,1,1,-119471,4,4,3,3,4,3,-1.063,2.505
0021 012,21,12,1176959,6,1,1,31,12,0,1,-112969,4,4,3,3,4,3,-1.063,3.852
0021 013,21,13,1075473,3,1,1,13,12,0,3,-26203,3,2,3,2,3,3,-1.063,1.218
0021 014,21,14,1145939,6,1,1,12,22,1,3,15468,4,4,4,3,3,3,-1.063,1.199
0021 015,21,15,1077138,7,1,1,12,12,0,2,-86814,5,4,3,3,3,3,-1.063,3.678
0021 016,21,16,1093280,3,1,1,32,31,1,2,-79746,4,3,4,3,3,3,-1.063,2.761
0021 017,21,17,1116268,5,1,1,13,21,1,2,-67309,4,3,3,4,3,4,-1.063,2.001
0021 018,21,18,1104825,4,1,1,13,11,0,2,-84449,3,4,4,2,3,2,-1.063,2.456
0021 019,21,19,903697,5,1,1,21,21,1,3,21050,3,3,3,4,4,4,-1.063,1.922
0021 020,21,20,798188,3,1,1,11,12,0,1,-141646,3,3,3,3,3,4,-1.063,1.74
0021 021,21,21,916174,2,1,1,21,12,1,2,-64988,3,3,3,2,2,1,-1.063,-0.088
0021 022,21,22,1010627,5,1,1,12,21,0,1,-219082,2,2,4,3,2,3,-1.063,3.686
0021 023,21,23,987900,9,1,1,13,11,0,3,-27408,3,3,3,3,4,3,-1.063,2.692
0021 024,21,24,1123730,4,1,1,13,22,0,4,32417,3,3,3,4,3,4,-1.063,3.62
0021 025,21,25,879428,2,1,1,21,11,1,5,110853,3,3,3,4,3,4,-1.063,4.006
0022 001,22,1,899168,2,1,1,12,11,1,5,114256,4,5,5,3,3,4,0.426,1.972
0022 002,22,2,1086808,2,1,1,32,22,1,5,180522,3,4,3,3,4,3,0.426,4.061
0022 003,22,3,858674,2,1,1,31,21,1,5,107633,3,3,3,4,4,4,0.426,2.256
0022 004,22,4,941759,5,1,1,21,21,0,3,-28231,4,4,4,3,4,3,0.426,3.813
0022 005,22,5,1020958,3,1,1,32,21,1,3,-29546,2,2,2,4,3,3,0.426,1.421
0022 006,22,6,1191385,5,1,1,32,21,1,5,100059,5,5,5,4,4,3,0.426,5.713
0022 007,22,7,929372,8,1,1,12,12,1,2,-35412,5,5,4,4,4,4,0.426,3.988
0022 008,22,8,797452,5,1,1,21,11,1,4,62030,4,4,3,4,4,4,0.426,4.566
0022 009,22,9,944301,3,1,1,12,12,1,4,84010,4,4,4,3,3,3,0.426,5.159
0022 010,22,10,1022919,6,1,1,31,21,1,3,22244,3,4,3,3,3,2,0.426,1.396
0022 011,22,11,1222571,6,1,1,32,22,0,2,-41100,4,3,3,3,3,2,0.426,2.036
0022 012,22,12,983110,6,1,1,32,22,0,3,8737,4,4,4,4,3,4,0.426,4.876
0022 013,22,13,1014806,4,1,1,12,21,1,4,97043,4,4,4,5,5,4,0.426,5.56
0022 014,22,14,1038228,6,1,1,11,31,1,2,-42734,3,4,3,4,3,3,0.426,3.848
0022 015,22,15,939318,4,1,1,13,12,1,4,37016,5,3,4,5,4,4,0.426,2.846
0022 016,22,16,1046241,5,1,1,32,12,0,3,-11962,3,2,3,3,4,3,0.426,4.085
0022 017,22,17,1032038,9,1,1,21,12,0,3,22844,4,4,4,4,4,3,0.426,3.193
0022 018,22,18,790169,1,1,1,21,12,1,4,56045,3,3,3,4,4,4,0.426,2.574
0022 019,22,19,1066572,2,1,1,11,12,0,1,-145288,5,4,4,4,3,3,0.426,3.97
0022 020,22,20,1069072,4,1,1,32,11,1,5,105060,4,4,3,5,4,5,0.426,5.732
0022 021,22,21,891671,5,1,1,31,22,0,2,-43245,3,3,4,3,3,3,0.426,3.337
0022 022,22,22,924767,3,1,1,21,12,0,1,-100491,3,3,4,2,2,3,0.426,1.496
0022 023,22,23,1029591,5,1,1,11,11,0,4,57988,4,4,4,3,3,3,0.426,3.544
